"nh3","no2","no3","o2","co2","Biomass","nparticle","Height","Roughness"
-6.2450673059069,-6.39793015554973,-6.94857727350239,-8.28212106923675,-5.48440600991124,-32.2306128902277,4.38202663467388,-13.7939352197607,-15.2633169907994
-6.34528642206431,-6.43463152240016,-6.9137733513077,-8.09848285655805,-5.17415472392761,-32.2294967604479,4.38202663467388,-13.7938499090852,-15.2633327613459
-6.19922699638389,-6.62032323778557,-7.1013400280548,-8.35167875293866,-5.51052097782391,-32.232322495409,4.38202663467388,-13.7939708006466,-15.2633090680871
-6.18359404489302,-6.36834219836423,-6.84948637085816,-8.13875675569599,-5.05145728861651,-32.2281905931143,4.38202663467388,-13.7935537207825,-15.2633886789082
-6.52794991765455,-6.32833686375053,-7.04243018230874,-8.28212106923675,-5.27381989494765,-32.2329993017739,4.15888308335967,-18.4206807439524,-18.4206807439524
-6.04655451342594,-6.81700091571367,-6.66245892302679,-7.88061636234469,-5.5227116997639,-32.2270989627955,4.56434819146784,-13.8040344331873,-15.2506884893643
-6.50295705986168,-6.40879982778663,-6.73885674252032,-8.03168537563454,-5.75055966621513,-32.2302216557636,4.38202663467388,-13.7941516178416,-15.2632742795954
-6.27064948930582,-6.8561120458303,-7.16912004311654,-7.98069982090167,-5.40857876080557,-32.2301317978494,4.38202663467388,-13.7935009377226,-15.2633998842479
-6.02564199890957,-6.26853644044775,-6.83729681533358,-8.42188301161191,-5.28067393137544,-32.2302118147355,4.38202663467388,-13.7937799619634,-15.2633460668817
-6.16249014416008,-6.39253930691485,-6.98679848632259,-8.18788944427364,-5.38300417471523,-32.2287244483816,4.38202663467388,-13.7935929751366,-15.2633823962974
-6.53000400944149,-6.63544068366148,-6.7619248307706,-8.00436956498757,-5.28876315374322,-32.2315228162736,4.38202663467388,-13.7941872247825,-15.2632684134223
-6.33001894993352,-6.75675240544561,-6.69992843177982,-8.16653631980307,-5.08256103366784,-32.2319871517536,4.38202663467388,-13.7939237512045,-15.2633185817231
-6.14414963477363,-6.14508203577358,-7.09408485717363,-8.08866281037708,-5.02524144648562,-32.2262383968094,4.56434819146784,-13.8045122244776,-15.260059615377
-5.99748261943355,-6.71465864902022,-7.12342681545765,-8.52724352726974,-5.1857032221789,-32.2338372748138,4.38202663467388,-13.7939645064627,-15.2633096270959
-5.86289544631327,-6.17538738526891,-7.16782218440094,-7.94057982711224,-5.0914658120108,-32.2227872390975,4.56434819146784,-13.8038045847475,-15.2507207440927
-6.42718269838717,-6.66873837851164,-6.63467935891972,-8.54251099940053,-5.0341086502819,-32.2373484711788,4.15888308335967,-18.4206807439524,-18.4206807439524
-6.21761260744249,-6.24971727553576,-7.3232707229438,-8.3432398842928,-5.65100028921723,-32.2304887921757,4.38202663467388,-13.7939925706319,-15.2633038734045
-5.95109065296971,-6.20119841151227,-6.57199758329879,-8.43561320442381,-5.6679328217625,-32.2296130859009,4.38202663467388,-13.793680923935,-15.2633646496099
-5.95725637577825,-6.59367473267582,-7.39714562202806,-8.15255007782833,-5.10357328975553,-32.2278828131984,4.56434819146784,-13.8042748839642,-15.2506562969474
-6.03855615464183,-6.6862130090349,-6.71878917946951,-8.04406943483426,-4.98219362046495,-32.2278017924721,4.56434819146784,-13.8042460044465,-15.2506603507841
-6.38480347541831,-6.42040301140179,-6.70074110959781,-8.38178855441003,-5.45333508881465,-32.2333191305526,4.38202663467388,-13.7944478242005,-15.26321617555
-5.96931174246685,-6.78200407367658,-6.85991794956798,-7.91561320438178,-5.35531108806816,-32.2266384758006,4.56434819146784,-13.8039439010256,-15.2507012955204
-6.44590983743787,-6.18359404489302,-6.76973398108476,-8.46365242448821,-5.71443905484473,-32.2340015012811,4.15888308335967,-18.4206807439524,-18.4206807439524
-6.10530536353174,-6.51099461150412,-6.87142334973475,-8.66801608115082,-5.69165629485836,-32.2357835850445,4.38202663467388,-13.794504060023,-15.2632049916019
-6.36368832143634,-6.64462207945177,-7.05741605353654,-8.44953454294242,-5.19503901709454,-32.2352480469215,4.38202663467388,-13.794536594891,-15.2631981228092
-6.60247889812941,-6.48183416230659,-6.5479851301361,-7.89393213832046,-5.11783082569981,-32.2303713706197,4.38202663467388,-13.7942473006038,-15.2632558440877
-6.58422355363666,-6.66167675638543,-6.89978710933296,-7.95757740348081,-4.98423682024172,-32.2318322165493,4.38202663467388,-13.7942769635685,-15.2632495237771
-5.8389151486477,-6.3105684895681,-6.74393719375274,-8.64502656292612,-5.18160156685208,-32.232714951431,4.38202663467388,-13.7939993665855,-15.2633032126621
-6.33790631476668,-6.61136126592833,-7.40369229025438,-8.31834233267107,-5.84132188867826,-32.2330426640834,4.38202663467388,-13.7942123706541,-15.2632609360208
-6.25595106195657,-6.22163271335916,-6.67110337764313,-8.0471895621705,-5.07357509387013,-32.227055064724,4.38202663467388,-13.7935650505804,-15.2633859523441
-5.88207217033679,-6.53826283133279,-6.57917121520993,-8.49250057882587,-5.42184185283353,-32.2316108084125,4.38202663467388,-13.7936953616562,-15.2633608776755
-6.16724752706235,-6.44654015576948,-6.99549419329014,-7.80179540192147,-5.44426842203234,-32.2250392182103,4.56434819146784,-13.8041699594515,-15.2506691793877
-6.13210687691045,-6.96432563047053,-6.96856741837889,-8.1987394602977,-5.1277310659725,-32.2320229017805,4.38202663467388,-13.7935507431397,-15.2633908176167
-6.46821085722111,-6.91176330037968,-6.6854120478387,-8.25482892694875,-5.55243572216168,-32.2353673414653,4.38202663467388,-13.7944184437863,-15.2632215427357
-6.02274883714775,-6.25595106195657,-7.21021263701607,-8.23956145481796,-5.23722226718823,-32.2276482975166,4.56434819146784,-13.8045354120669,-15.2600559601833
-6.66089520105061,-7.01422752349265,-6.97176060895805,-8.07571764578504,-5.87599529730187,-32.23626750482,4.15888308335967,-18.4206807439524,-18.4206807439524
-6.55428546599235,-6.43962840974926,-7.29341775979412,-7.93497757156357,-5.14972496249821,-32.2299740690249,4.38202663467388,-13.7941604215704,-15.2632727539593
-6.30398590957341,-7.10987146310427,-6.79890087407006,-8.57376354290463,-5.26468918556805,-32.2393506875235,4.15888308335967,-18.4206807439524,-18.4206807439524
-6.55991928371061,-6.33847208564458,-6.65079017919242,-8.40833878650415,-5.11582915697476,-32.2350868120902,4.15888308335967,-18.4206807439524,-18.4206807439524
-5.88602403464999,-6.24197929521832,-7.36662116381742,-8.13533794894721,-4.91496154402797,-32.2253863858304,4.56434819146784,-13.8041315977169,-15.2506757540897
-6.7064484222771,-6.57271263517052,-7.23210133580551,-7.78242433616547,-5.61056539294507,-32.2311872431291,4.38202663467388,-13.7944355480883,-15.2632204005242
-5.98588016881408,-6.35963387047245,-7.01980478279076,-8.26255097304266,-5.74179591685442,-32.2281787880126,4.56434819146784,-13.8045128951854,-15.2600600034564
-6.11929791861787,-6.49829814960444,-6.68141683677141,-8.33071362447362,-5.08789437964321,-32.2307453580253,4.38202663467388,-13.79376910063,-15.2633497251539
-6.09860442266589,-6.96856741837889,-6.81153642124159,-8.18072095479502,-5.70418255467754,-32.2315867192971,4.56434819146784,-13.8045723457959,-15.2600524830538
-6.86661333565096,-6.55639442986717,-6.79086152751064,-8.49250057882587,-5.56986365709041,-32.2411520862857,4.15888308335967,-18.4206807439524,-18.4206807439524
-6.45731680523124,-6.74393719375274,-6.5410309991904,-8.75291552493731,-5.32466134188764,-32.2414443751781,4.15888308335967,-18.4206807439524,-18.4206807439524
-5.91747086719966,-6.28449422588636,-6.62182473956916,-7.81409568000312,-5.91932994934878,-32.222442254737,4.56434819146784,-13.8037281378477,-15.2507300973484
-6.05632311945648,-6.27382745808216,-7.1160102178026,-8.63936082539045,-4.93409100645647,-32.2338657082072,4.38202663467388,-13.7943406121977,-15.2632365393317
-6.31001828322685,-6.16581793425276,-6.88306266639177,-8.31017902203191,-5.2461044951011,-32.2304742753008,4.38202663467388,-13.7941324933998,-15.2632775871558
-6.14975712610258,-6.8656541029635,-7.20078495776051,-7.79691734346804,-5.2276725269787,-32.2274984940875,4.56434819146784,-13.8041290394964,-15.2506758703973
-6.2450673059069,-6.39793015554973,-6.94857727350239,-8.28212106923675,-5.48440600991124,-32.0110590094597,4.71849887129509,-13.7547286439437,-15.1768694453072
-6.34528642206431,-6.43463152240016,-6.9137733513077,-8.09848285655805,-5.17415472392761,-32.0082836768445,4.71849887129509,-13.7544303954778,-15.1767637488278
-6.19922699638389,-6.62032323778557,-7.1013400280548,-8.35167875293866,-5.51052097782391,-32.0151510008834,4.71849887129509,-13.7510686743085,-15.1694094377555
-6.18359404489302,-6.36834219836423,-6.84948637085816,-8.13875675569599,-5.05145728861651,-32.0047415428565,4.71849887129509,-13.7540890668045,-15.1768221161702
-6.52794991765455,-6.32833686375053,-7.04243018230874,-8.28212106923675,-5.27381989494765,-32.0177423530243,4.71849887129509,-13.7415025481479,-15.1681849065061
-6.04655451342594,-6.81700091571367,-6.66245892302679,-7.88061636234469,-5.5227116997639,-32.0011397333081,4.71849887129509,-13.7653521001769,-15.1627323659693
-6.50295705986168,-6.40879982778663,-6.73885674252032,-8.03168537563454,-5.75055966621513,-32.0104446615804,4.71849887129509,-13.7546148408713,-15.1766020261871
-6.27064948930582,-6.8561120458303,-7.16912004311654,-7.98069982090167,-5.40857876080557,-32.0092429978626,4.71849887129509,-13.7546164874851,-15.1846299391192
-6.02564199890957,-6.26853644044775,-6.83729681533358,-8.42188301161191,-5.28067393137544,-32.0098733543338,4.71849887129509,-13.7546263384737,-15.1769455768606
-6.16249014416008,-6.39253930691485,-6.98679848632259,-8.18788944427364,-5.38300417471523,-32.0060668935828,4.71849887129509,-13.7542317658502,-15.1768739908377
-6.53000400944149,-6.63544068366148,-6.7619248307706,-8.00436956498757,-5.28876315374322,-32.0135940598021,4.71849887129509,-13.7549645536172,-15.1767860383835
-6.33001894993352,-6.75675240544561,-6.69992843177982,-8.16653631980307,-5.08256103366784,-32.0142870782518,4.71849887129509,-13.7551008428988,-15.1845461970945
-6.14414963477363,-6.14508203577358,-7.09408485717363,-8.08866281037708,-5.02524144648562,-31.9998591044004,4.71849887129509,-13.7648973554812,-15.1620566627691
-5.99748261943355,-6.71465864902022,-7.12342681545765,-8.52724352726974,-5.1857032221789,-32.01869084294,4.71849887129509,-13.7520283497371,-15.1714381697526
