"nh3" "no2" "no3" "o2" "co2" "Biomass" "nparticle" "Height" "Roughness"
0.001257 0.001853 0.00147 0.000338 0.00305 1.0049668e-14 64 1e-08 1e-08
0.00165 0.001365 0.000856 0.000299 0.004112 1.0050255e-14 80 1.02171576875e-06 2.35089725794657e-07
0.001291 0.001072 0.001481 0.000169 0.002635 9.932784e-15 64 1e-08 1e-08
0.00295 0.00112 0.001191 0.000385 0.002858 1.0109541e-14 96 1.011936434375e-06 2.38060041578164e-07
0.002715 0.002244 0.001217 0.000231 0.007042 1.0082138e-14 80 1.02227469375e-06 2.35064981331088e-07
0.002899 0.000795 0.00067 0.000152 0.004632 9.96509e-15 80 1.0213269875e-06 2.35107241608109e-07
0.001142 0.002157 0.000685 0.000327 0.006304 1.0041107e-14 64 1e-08 1e-08
0.001021 0.001238 0.001371 0.000266 0.006726 9.973543e-15 64 1e-08 1e-08
0.002986 0.002047 0.001161 0.000157 0.003052 1.0020829e-14 80 1.02146590625e-06 2.35101154196276e-07
0.001306 0.002009 0.000647 0.000187 0.003576 9.98134e-15 64 1e-08 1e-08
0.002565 0.000967 0.000505 0.000336 0.002954 1.0077218e-14 96 1.011524153125e-06 2.38073360549653e-07
0.00101 0.002169 0.001493 0.000166 0.002785 9.932493e-15 64 1e-08 1e-08
0.00153 0.000913 0.001352 0.000361 0.002743 1.0035057e-14 80 1.0217946e-06 2.35086502362108e-07
0.002629 0.000979 0.001454 0.000209 0.005755 1.0022453e-14 80 1.0220025875e-06 2.35077245819159e-07
0.0012 0.002225 0.001429 0.000143 0.007418 9.928938e-15 64 1e-08 1e-08
0.001097 0.001218 0.000558 0.000419 0.007286 1.0027342e-14 64 1e-08 1e-08
0.002834 0.001472 0.000532 0.000202 0.007367 1.0045536e-14 80 1.02204614375e-06 2.35075488013962e-07
0.001109 0.00084 0.000847 0.000162 0.004689 9.893004e-15 64 1e-08 1e-08
0.002199 0.00213 0.001065 0.000352 0.004353 1.0116632e-14 96 1.01130731875e-06 2.38080213725792e-07
0.001257 0.001853 0.00147 0.000338 0.00305 1.2494329e-14 112 1.07729931111111e-06 2.58604877462015e-07
0.00165 0.001365 0.000856 0.000299 0.004112 1.2506371e-14 112 1.06250893333333e-06 2.56310649065258e-07
0.001291 0.001072 0.001481 0.000169 0.002635 1.2130256e-14 112 1.07022695e-06 2.54976287414097e-07
0.00295 0.00112 0.001191 0.000385 0.002858 1.2711796e-14 112 1.05179237222222e-06 2.59944026357358e-07
0.002715 0.002244 0.001217 0.000231 0.007042 1.2611026e-14 112 1.06339532222222e-06 2.56314499735891e-07
0.002899 0.000795 0.00067 0.000152 0.004632 1.2252675e-14 112 1.06283689722222e-06 2.56191067148848e-07
0.001142 0.002157 0.000685 0.000327 0.006304 1.2463026e-14 112 1.07734599722222e-06 2.59335043770272e-07
0.001021 0.001238 0.001371 0.000266 0.006726 1.225135e-14 112 1.07474485833333e-06 2.58606338486812e-07
0.002986 0.002047 0.001161 0.000157 0.003052 1.2415412e-14 112 1.06560963055556e-06 2.57802183998422e-07
0.001306 0.002009 0.000647 0.000187 0.003576 1.2276064e-14 112 1.07500695e-06 2.58606141128301e-07
0.002565 0.000967 0.000505 0.000336 0.002954 1.260799e-14 112 1.05484823611111e-06 2.60524836190062e-07
0.00101 0.002169 0.001493 0.000166 0.002785 1.2114835e-14 112 1.07119988888889e-06 2.5638613240753e-07
0.00153 0.000913 0.001352 0.000361 0.002743 1.2463322e-14 112 1.06602267222222e-06 2.57781863134685e-07
0.002629 0.000979 0.001454 0.000209 0.005755 1.2431144e-14 112 1.06489170277778e-06 2.56959290671408e-07
0.0012 0.002225 0.001429 0.000143 0.007418 1.210722e-14 112 1.07064231111111e-06 2.5587879396751e-07
0.001097 0.001218 0.000558 0.000419 0.007286 1.2424811e-14 112 1.07661076111111e-06 2.58573457711236e-07
0.002834 0.001472 0.000532 0.000202 0.007367 1.2498927e-14 112 1.06669068055556e-06 2.58180081114884e-07
0.001109 0.00084 0.000847 0.000162 0.004689 1.2005658e-14 112 1.06859735e-06 2.54325059037854e-07
0.002199 0.00213 0.001065 0.000352 0.004353 1.27203e-14 112 1.05328762777778e-06 2.61807674619633e-07
0.001257 0.001853 0.00147 0.000338 0.00305 1.4550987e-14 113.2 1.08879719166667e-06 2.8316010102626e-07
0.00165 0.001365 0.000856 0.000299 0.004112 1.4581994e-14 114.2 1.081097625e-06 2.86636737124967e-07
0.001291 0.001072 0.001481 0.000169 0.002635 1.3959095e-14 112 1.07344713055556e-06 2.67669906323526e-07
0.00295 0.00112 0.001191 0.000385 0.002858 1.4939418e-14 121.4 1.13328529166667e-06 3.44592893174385e-07
0.002715 0.002244 0.001217 0.000231 0.007042 1.4758133e-14 116.4 1.101944975e-06 3.04025287789781e-07
0.002899 0.000795 0.00067 0.000152 0.004632 1.4181753e-14 113.6 1.07585121666667e-06 2.81800632127374e-07
0.001142 0.002157 0.000685 0.000327 0.006304 1.4494926e-14 112.2 1.07971313333333e-06 2.70771445684787e-07
0.001021 0.001238 0.001371 0.000266 0.006726 1.4149653e-14 112 1.07655635e-06 2.68459388923042e-07
0.002986 0.002047 0.001161 0.000157 0.003052 1.4434845e-14 113.8 1.08041546388889e-06 2.85886092886691e-07
0.001306 0.002009 0.000647 0.000187 0.003576 1.4190289e-14 112 1.07681856111111e-06 2.68457324443594e-07
0.002565 0.000967 0.000505 0.000336 0.002954 1.4766994e-14 120 1.12336391268195e-06 3.31593145672992e-07
0.00101 0.002169 0.001493 0.000166 0.002785 1.3918388e-14 112 1.07319656944444e-06 2.67968961346224e-07
0.00153 0.000913 0.001352 0.000361 0.002743 1.4516749e-14 114.4 1.08646172222222e-06 2.92263489819844e-07
0.002629 0.000979 0.001454 0.000209 0.005755 1.4472191e-14 115.2 1.09014983611111e-06 2.97442641362765e-07
0.0012 0.002225 0.001429 0.000143 0.007418 1.3909753e-14 112 1.07299698055556e-06 2.67874995226859e-07
0.001097 0.001218 0.000558 0.000419 0.007286 1.4438057e-14 112.2 1.07941993333333e-06 2.70693165192861e-07
0.002834 0.001472 0.000532 0.000202 0.007367 1.4577964e-14 115.4 1.09449118333333e-06 3.00146964375116e-07
0.001109 0.00084 0.000847 0.000162 0.004689 1.3755672e-14 112 1.07181019722222e-06 2.670997936962e-07
0.002199 0.00213 0.001065 0.000352 0.004353 1.4937792e-14 118.6 1.11067354390904e-06 3.27878491644414e-07
0.001257 0.001853 0.00147 0.0003379999 0.00305 1.84672088e-14 161.8 1.42248776986301e-06 4.63221887395877e-07
0.00165 0.001365 0.000856 0.0002989999 0.004112 1.85544326e-14 166.2 1.4446457935312e-06 4.54753746163412e-07
0.001291 0.001072 0.001481 0.0001689999 0.002635 1.740445e-14 157.8 1.41959036247892e-06 4.26728619206998e-07
0.00295 0.00112 0.001191 0.0003849999 0.002858 1.9261669e-14 172.6 1.49957191518265e-06 4.29998843381161e-07
0.002715 0.002244 0.001217 0.0002309999 0.007042 1.8887329e-14 168.6 1.47892519501522e-06 4.58448611621841e-07
0.002899 0.000795 0.00067 0.0001519999 0.004632 1.7867531e-14 164 1.4351882847793e-06 4.65835707093402e-07
0.001142 0.002157 0.0006850001 0.0003269999 0.006304 1.8352365e-14 160.8 1.43766414166667e-06 4.51138740704537e-07
0.001021 0.001238 0.001371 0.0002659999 0.006726 1.7729825e-14 158.2 1.40033429682439e-06 4.53390932722714e-07
0.002986 0.002047 0.001161 0.0001569999 0.003052 1.8292071e-14 164.2 1.43825411544901e-06 4.66323698014932e-07
0.001306 0.002009 0.000647 0.0001869999 0.003576 1.7804005e-14 158.4 1.41578295464231e-06 4.39587633366242e-07
0.002565 0.000967 0.000505 0.0003359999 0.002954 1.8941468e-14 171.6 1.4826256173516e-06 4.40484456799679e-07
0.00101 0.002169 0.001493 0.0001659999 0.002785 1.7289822e-14 153.4 1.37317849159056e-06 4.25967981983345e-07
0.00153 0.000913 0.001352 0.0003609999 0.002743 1.8450212e-14 166.4 1.45076333501172e-06 4.66854310783652e-07
0.002629 0.000979 0.001454 0.0002089999 0.005755 1.8391164e-14 166.6 1.45286182123288e-06 4.6057835748356e-07
0.0012 0.002225 0.001429 0.0001429999 0.007418 1.7284313e-14 153.6 1.37732387834855e-06 4.32998216879315e-07
0.001097 0.001218 0.000558 0.0004189999 0.007286 1.8264859e-14 161.6 1.43502122280908e-06 4.55894083807186e-07
0.002834 0.001472 0.000532 0.0002019999 0.007367 1.8569358e-14 166.6 1.454312402207e-06 4.6009267401808e-07
0.001109 0.00084 0.000847 0.0001619999 0.004689 1.7036658e-14 154 1.38596382131721e-06 4.27927778507307e-07
0.002199 0.00213 0.001065 0.0003519999 0.004353 1.9215391e-14 170 1.47269526636225e-06 4.44061289047664e-07
0.001257 0.001853 0.00147 0.0003379999 0.00305 2.1774987e-14 178.8 1.53133671864536e-06 4.74062552696913e-07
