"nh3" "no2" "no3" "o2" "co2" "Biomass" "nparticle" "Height" "Roughness"
0.00194 0.001665 0.00096 0.000253 0.004151 1.005594e-14 80 1.02180976875e-06 2.3508539853374e-07
0.001755 0.001605 0.000994 0.000304 0.005661 1.006717e-14 80 1.02189694375e-06 2.35081691137764e-07
0.002031 0.001333 0.000824 0.000236 0.004044 1.0038763e-14 80 1.0217734125e-06 2.35087261055104e-07
0.002063 0.001715 0.00106 0.000292 0.0064 1.0080328e-14 80 1.0221996625e-06 2.35068546310167e-07
0.001462 0.001785 0.000874 0.000253 0.005124 1.0031971e-14 64 1e-08 1e-08
0.002366 0.001095 0.001278 0.000378 0.003995 1.0091338e-14 96 1.011542228125e-06 2.38072999583693e-07
0.001499 0.001647 0.001184 0.000325 0.003181 1.0059875e-14 80 1.021588675e-06 2.35095439528591e-07
0.001891 0.001053 0.00077 0.000342 0.004478 1.0060779e-14 80 1.02225361875e-06 2.35065912302015e-07
0.002416 0.001895 0.001073 0.00022 0.005089 1.0059974e-14 80 1.021968425e-06 2.35078563270728e-07
0.002107 0.001674 0.000924 0.000278 0.004594 1.0074948e-14 80 1.0221595375e-06 2.35070023158989e-07
0.001459 0.001313 0.001157 0.000334 0.005048 1.0046794e-14 80 1.0215523e-06 2.35096818643171e-07
0.001782 0.001163 0.001231 0.000284 0.006204 1.004213e-14 80 1.0218214875e-06 2.35085024531115e-07
0.002146 0.002144 0.00083 0.000307 0.00657 1.0100026e-14 96 1.0110590375e-06 2.35852408474552e-07
0.002485 0.001213 0.000806 0.000198 0.005596 1.0023568e-14 80 1.02177984375e-06 2.35087129639294e-07
0.002843 0.00208 0.000771 0.000356 0.006149 1.0134943e-14 96 1.01177475625e-06 2.38065320727589e-07
0.001617 0.00127 0.001314 0.000195 0.006512 9.988435e-15 64 1e-08 1e-08
0.001994 0.001931 0.00066 0.000238 0.003514 1.0057188e-14 80 1.02175116875e-06 2.35088482261973e-07
0.002603 0.002027 0.001399 0.000217 0.003455 1.0065999e-14 80 1.02206964375e-06 2.35074194910259e-07
0.002587 0.001369 0.000613 0.000288 0.006075 1.0083431e-14 96 1.01129903125e-06 2.38080663852323e-07
0.002385 0.001248 0.001208 0.000321 0.006859 1.0084248e-14 96 1.0113282375e-06 2.38079698714145e-07
0.001687 0.001628 0.00123 0.000229 0.004282 1.0028763e-14 80 1.02128611875e-06 2.35109099921533e-07
0.002556 0.001134 0.001049 0.000365 0.004723 1.0095986e-14 96 1.011633809375e-06 2.38069950803209e-07
0.001587 0.002063 0.001148 0.000211 0.003298 1.0021922e-14 64 1e-08 1e-08
0.002231 0.001487 0.001037 0.000172 0.003374 1.0004078e-14 80 1.0212286875e-06 2.35111729384213e-07
0.001723 0.001301 0.000861 0.000214 0.005544 1.0009437e-14 80 1.0211954625e-06 2.35113344323485e-07
0.001357 0.001531 0.001433 0.000373 0.005989 1.0058369e-14 80 1.02149093125e-06 2.35099773672317e-07
0.001382 0.001279 0.001008 0.00035 0.006845 1.0043686e-14 80 1.02146063125e-06 2.35101259580608e-07
0.002912 0.001817 0.001178 0.000176 0.005619 1.0034824e-14 80 1.021744225e-06 2.35088637594959e-07
0.001768 0.001345 0.000609 0.000244 0.002905 1.0031536e-14 80 1.0215266125e-06 2.3509857656306e-07
0.001919 0.001986 0.001267 0.00032 0.00626 1.0091781e-14 80 1.02218808125e-06 2.35069187240495e-07
0.002789 0.001447 0.001389 0.000205 0.004419 1.004591e-14 80 1.0220548875e-06 2.35075081596373e-07
0.002097 0.001586 0.000916 0.000409 0.004321 1.0112145e-14 96 1.011405146875e-06 2.38077596812123e-07
0.002172 0.000945 0.000941 0.000275 0.00593 1.0041771e-14 80 1.02220270625e-06 2.35068043567616e-07
0.001552 0.000996 0.001249 0.00026 0.003878 1.0008243e-14 80 1.021316125e-06 2.35107838050724e-07
0.002423 0.001919 0.000739 0.000264 0.005315 1.0085796e-14 96 1.01103559375e-06 2.35853270562382e-07
0.00128 0.000899 0.000938 0.000311 0.002806 9.999238e-15 64 1e-08 1e-08
0.001424 0.001597 0.00068 0.000358 0.005801 1.0062366e-14 80 1.02157968125e-06 2.3509579819894e-07
0.001829 0.000817 0.001115 0.000189 0.005171 9.968456e-15 64 1e-08 1e-08
0.001416 0.001767 0.001293 0.000223 0.006001 1.0011051e-14 64 1e-08 1e-08
0.002778 0.001946 0.000632 0.000293 0.007336 1.0108635e-14 96 1.011443946875e-06 2.38076031528025e-07
0.001223 0.001398 0.000723 0.000417 0.003659 1.0050166e-14 80 1.02129865625e-06 2.35108106593757e-07
0.002514 0.00173 0.000894 0.000258 0.003209 1.0080447e-14 96 1.011058359375e-06 2.35852316945104e-07
0.0022 0.001506 0.001254 0.000241 0.006171 1.0054608e-14 80 1.021979525e-06 2.35077703290924e-07
0.002246 0.000941 0.001101 0.00028 0.003332 1.0046152e-14 96 1.010998253125e-06 2.35854090656171e-07
0.001042 0.001421 0.001124 0.000205 0.003811 9.950515e-15 64 1e-08 1e-08
0.001569 0.001178 0.001443 0.000158 0.00487 9.947607e-15 64 1e-08 1e-08
0.002692 0.001865 0.001331 0.000404 0.002687 1.013844e-14 96 1.01185210625e-06 2.38063094052184e-07
0.002343 0.001885 0.000812 0.000177 0.007197 1.0023283e-14 80 1.02139561875e-06 2.35104312259891e-07
0.001818 0.0021 0.001025 0.000246 0.005268 1.0057334e-14 80 1.0216082125e-06 2.35094661937496e-07
0.002134 0.001043 0.000746 0.000411 0.005366 1.0087307e-14 96 1.011446534375e-06 2.38076003837977e-07
0.002662 0.001146 0.001401 0.000344 0.005445 1.0093664e-14 96 1.011620415625e-06 2.38070214357248e-07
0.00202 0.001552 0.000692 0.000165 0.004754 9.991376e-15 64 1e-08 1e-08
0.002322 0.000872 0.000569 0.000302 0.006393 1.0051667e-14 96 1.011184675e-06 2.38084184383471e-07
0.002934 0.002014 0.000719 0.000346 0.003757 1.0132412e-14 96 1.011783278125e-06 2.38064871687874e-07
0.001963 0.001519 0.00133 0.000316 0.0039 1.0078588e-14 80 1.022219525e-06 2.35067748047339e-07
0.001505 0.002208 0.001469 0.000272 0.00481 1.005389e-14 80 1.02131291875e-06 2.35108135918627e-07
0.001174 0.002184 0.000984 0.000297 0.003632 1.0034689e-14 64 1e-08 1e-08
0.00185 0.001562 0.000795 0.000269 0.006924 1.0056208e-14 80 1.02181560625e-06 2.35085853888622e-07
0.002803 0.001189 0.000901 0.000285 0.004902 1.0078996e-14 96 1.011411984375e-06 2.38077054938242e-07
0.002456 0.001468 0.001301 0.000227 0.002531 1.0053138e-14 80 1.02206531875e-06 2.35074384707527e-07
0.001327 0.001774 0.001099 0.000398 0.005499 1.006977e-14 80 1.02150448125e-06 2.35099308969754e-07
0.002755 0.000799 0.000952 0.000194 0.006754 1.0001402e-14 80 1.02190465e-06 2.35081883680867e-07
0.001068 0.000779 0.000543 0.000363 0.003445 9.979396e-15 64 1e-08 1e-08
0.002974 0.001807 0.001282 0.000314 0.005207 1.0117329e-14 96 1.011659740625e-06 2.3806922189657e-07
0.002287 0.001084 0.000785 0.000182 0.002573 9.99822e-15 80 1.02142186875e-06 2.35103032007033e-07
0.001123 0.001957 0.000624 0.00015 0.006459 9.924796e-15 64 1e-08 1e-08
0.001209 0.000862 0.000579 0.00025 0.006971 9.96531e-15 64 1e-08 1e-08
0.002042 0.001837 0.001363 0.000148 0.004988 9.980013e-15 64 1e-08 1e-08
0.001874 0.001391 0.001089 0.000146 0.007475 9.958165e-15 64 1e-08 1e-08
0.002867 0.002203 0.000584 0.000185 0.004066 1.0050252e-14 80 1.0218494e-06 2.35084127523425e-07
0.00194 0.001665 0.00096 0.000253 0.004151 1.2524884e-14 112 1.06266713611111e-06 2.56312240736676e-07
0.001755 0.001605 0.000994 0.000304 0.005661 1.2559693e-14 112 1.06298412222222e-06 2.56339333469948e-07
0.002031 0.001333 0.000824 0.000236 0.004044 1.2473737e-14 112 1.06656359166667e-06 2.58231481864076e-07
0.002063 0.001715 0.00106 0.000292 0.0064 1.260426e-14 112 1.06334701111111e-06 2.56324372060938e-07
0.001462 0.001785 0.000874 0.000253 0.005124 1.2441455e-14 112 1.07681543055556e-06 2.58547888068299e-07
0.002366 0.001095 0.001278 0.000378 0.003995 1.264974e-14 112 1.05143769166667e-06 2.59961481243543e-07
0.001499 0.001647 0.001184 0.000325 0.003181 1.2532581e-14 112 1.06278807777778e-06 2.56380792696225e-07
0.001891 0.001053 0.00077 0.000342 0.004478 1.254765e-14 112 1.06278632777778e-06 2.5433082948761e-07
0.002416 0.001895 0.001073 0.00022 0.005089 1.2539743e-14 112 1.06277585833333e-06 2.56292728030432e-07
0.002107 0.001674 0.000924 0.000278 0.004594 1.2587566e-14 112 1.06319528333333e-06 2.56311075664233e-07
0.001459 0.001313 0.001157 0.000334 0.005048 1.2493173e-14 112 1.06241647222222e-06 2.56333619843768e-07
0.001782 0.001163 0.001231 0.000284 0.006204 1.2484518e-14 112 1.06227168611111e-06 2.54352128558019e-07
0.002146 0.002144 0.00083 0.000307 0.00657 1.266595e-14 112 1.05191593611111e-06 2.60137197407651e-07
0.002485 0.001213 0.000806 0.000198 0.005596 1.242966e-14 112 1.06554052777778e-06 2.57708130443547e-07
0.002843 0.00208 0.000771 0.000356 0.006149 1.278405e-14 112 1.05360818333333e-06 2.61771990235175e-07
0.001617 0.00127 0.001314 0.000195 0.006512 1.2309032e-14 112 1.07292608888889e-06 2.55636491428911e-07
0.001994 0.001931 0.00066 0.000238 0.003514 1.2527491e-14 112 1.06270540277778e-06 2.56331426145007e-07
0.002603 0.002027 0.001399 0.000217 0.003455 1.2559429e-14 112 1.06294349444444e-06 2.56294467412999e-07
