"Biomass" "nparticle" "Height" "Roughness"
4.937888e-18 0.064 8.17147347222221e-11 4.2453684405872e-11
4.985046e-18 0.064 8.21743569444442e-11 4.25152846643685e-11
4.869948e-18 0.064 8.95803583333329e-11 4.62884416179429e-11
5.047864e-18 0.064 8.22946972222222e-11 4.25116515015412e-11
4.818968e-18 0.096 2.13363086111111e-09 4.97095776136599e-10
5.116804e-18 0.032 7.97909270833335e-11 4.37769633196989e-11
4.945412e-18 0.064 8.23988055555554e-11 4.2570706335267e-11
4.973742e-18 0.064 8.10654180555557e-11 3.85298343711902e-11
4.959538e-18 0.064 8.16148666666667e-11 4.24283295194067e-11
5.025236e-18 0.064 8.20714916666662e-11 4.24821050104878e-11
4.892758e-18 0.064 8.17283444444444e-11 4.24736024011942e-11
4.88477600000001e-18 0.064 8.09003972222225e-11 3.85342080538081e-11
5.131848e-18 0.032 8.17137972222224e-11 4.85695778661971e-11
4.812184e-18 0.064 8.75213680555556e-11 4.52420016085051e-11
5.298214e-18 0.032 8.36668541666664e-11 4.74133390151718e-11
4.641194e-18 0.096 2.12585217777778e-09 4.91272982857821e-10
4.940606e-18 0.064 8.19084680555559e-11 4.24858877660688e-11
4.98686e-18 0.064 8.17477013888891e-11 4.24405450054801e-11
5.075872e-18 0.032 8.00306652777779e-11 4.38169725306829e-11
5.080274e-18 0.032 7.99946916666666e-11 4.38112477927597e-11
4.81295e-18 0.064 8.12514125000001e-11 3.86204918505366e-11
5.138766e-18 0.032 7.97967090277779e-11 4.37789472189144e-11
4.774758e-18 0.096 2.13295778333333e-09 4.97096662267104e-10
4.716056e-18 0.064 8.76033916666665e-11 4.53114498049317e-11
4.7351648e-18 0.064 8.81724194444444e-11 4.54117361667964e-11
4.936102e-18 0.064 8.25154374999998e-11 4.25960304073211e-11
4.877316e-18 0.064 8.17414875e-11 4.24817414654527e-11
4.853674e-18 0.064 8.93318944444445e-11 4.62494876105887e-11
4.832604e-18 0.064 8.09089638888886e-11 3.85539925215135e-11
5.092772e-18 0.064 8.29704930555555e-11 4.26138228639895e-11
4.90858e-18 0.064 8.92925805555557e-11 4.62086009344106e-11
5.193066e-18 0.032 8.14117173611111e-11 4.40555151982184e-11
4.898894e-18 0.064 8.77352041666667e-11 4.52357651986888e-11
4.735298e-18 0.064 8.76856499999999e-11 4.5316984344685e-11
5.07459e-18 0.032 8.0932184722222e-11 4.8443465679866e-11
4.690844e-18 0.096 2.12670931666667e-09 4.91245520520485e-10
4.95495e-18 0.064 8.25590041666667e-11 4.25955986610161e-11
4.575358e-18 0.096 2.12313967777778e-09 4.89532668509862e-10
4.725788e-18 0.096 2.13219381111111e-09 4.97114985165728e-10
5.180624e-18 0.032 8.10874729166669e-11 4.40026544967716e-11
4.897186e-18 0.064 8.2446709722222e-11 4.26001173096155e-11
5.054478e-18 0.032 8.05524645833334e-11 4.83780219781424e-11
4.939126e-18 0.064 8.12845166666667e-11 3.85785638094008e-11
4.91972e-18 0.032 8.52842770833335e-11 4.84092217286745e-11
4.453074e-18 0.096 2.12300669444444e-09 4.91716315020835e-10
4.464036e-18 0.096 2.12161513888889e-09 4.89875706679421e-10
5.31519e-18 0.032 8.36464708333332e-11 4.74107947596567e-11
4.79587e-18 0.064 8.94553680555557e-11 4.63070895868846e-11
4.936092e-18 0.064 8.22135249999997e-11 4.25411471097375e-11
5.097114e-18 0.032 7.98322090277779e-11 4.37831694731964e-11
5.129174e-18 0.032 7.97000409722227e-11 4.37618513768845e-11
4.655818e-18 0.096 2.12607486111111e-09 4.9124180680778e-10
4.948948e-18 0.032 8.49914388888888e-11 4.3892269278292e-11
5.288408e-18 0.032 8.34877604166667e-11 4.73838153721207e-11
5.041752e-18 0.064 8.21543277777777e-11 4.24899943817118e-11
4.912422e-18 0.064 8.26303736111108e-11 4.26260428938897e-11
4.816698e-18 0.096 2.13341013888889e-09 4.97311078856078e-10
4.939126e-18 0.064 8.17187208333336e-11 4.24532484501586e-11
5.063462e-18 0.032 7.94451368055553e-11 4.37138722210796e-11
4.93678e-18 0.064 8.10211736111112e-11 3.85348887027169e-11
4.981886e-18 0.064 8.51259263888886e-11 4.58546439875317e-11
4.73463e-18 0.064 8.42956388888889e-11 4.35404646885005e-11
4.600394e-18 0.096 2.12513485555556e-09 4.91284552564013e-10
5.223552e-18 0.032 8.09690576388886e-11 4.39853995397744e-11
4.701774e-18 0.064 8.55542736111111e-11 4.37885645457118e-11
4.338294e-18 0.096 2.12095138888889e-09 4.91760922594754e-10
4.541472e-18 0.096 2.12397257222222e-09 4.91209258188886e-10
4.601812e-18 0.096 2.12519112777778e-09 4.91311280747135e-10
4.511002e-18 0.096 2.12246135e-09 4.89868763306761e-10
4.917246e-18 0.064 8.13067222222221e-11 3.85894107479996e-11
4.176222e-18 0.00480000000000001 3.99287611111111e-11 6.66430612524389e-11
4.21939e-18 0.00519999999999999 4.36093888888887e-11 6.74714693206258e-11
4.11741e-18 0.00480000000000001 4.01349055555559e-11 6.80677699448175e-11
4.283196e-18 0.00880000000000001 7.70487499999999e-11 9.53251698836803e-11
4.052256e-18 0.002 1.816675e-11 4.35295066619211e-11
4.36537e-18 0.016 1.3720335173323e-10 1.43805163888377e-10
4.175616e-18 0.00359999999999999 3.06745111111112e-11 5.52523779535232e-11
4.221916e-18 0.00880000000000001 7.71278444444444e-11 9.93952534802591e-11
4.199952e-18 0.00640000000000001 5.72889555555555e-11 8.07782165304595e-11
4.262464e-18 0.00840000000000001 7.37796833333334e-11 9.78805471685583e-11
4.129332e-18 0.00359999999999999 3.06647333333336e-11 5.40451621607349e-11
4.13157e-18 0.00480000000000001 3.9947188888889e-11 7.05463336553995e-11
4.36109e-18 0.00880000000000001 8.18182222222221e-11 1.07000100628878e-10
4.06933e-18 0.00480000000000001 3.98998277777776e-11 6.78270042402094e-11
4.530012e-18 0.018 1.49920032320407e-10 1.60314222331554e-10
3.893508e-18 0.000800000000000011 1.26366611111112e-11 3.05288941063921e-11
4.17662e-18 0.00480000000000001 3.98978055555556e-11 6.65843694569931e-11
4.226658e-18 0.00680000000000001 6.30834722222221e-11 8.50521044695888e-11
4.321392e-18 0.0128 1.13934101423457e-10 1.3439262392321e-10
4.326226e-18 0.0132 1.16835822074303e-10 1.33971157309515e-10
4.052884e-18 0.00319999999999999 2.7116211111111e-11 5.14803768129501e-11
4.387544e-18 0.0164 1.42006064732995e-10 1.45252604776624e-10
4.010152e-18 0.000400000000000006 5.61557777777791e-12 2.42476180679269e-11
3.9695548e-18 0.00280000000000001 2.47077611111109e-11 4.77144737112875e-11
3.9843452e-18 0.00240000000000001 2.18450555555558e-11 4.64767124287568e-11
4.164614e-18 0.00359999999999999 3.06372944444443e-11 5.52009915895824e-11
4.113212e-18 0.00359999999999999 3.06300666666664e-11 5.40054457898855e-11
4.10271e-18 0.00440000000000001 3.54403000000002e-11 6.18172395018089e-11
4.077454e-18 0.00359999999999999 3.06591111111112e-11 5.79104003185137e-11
4.3216e-18 0.00880000000000001 7.70165944444447e-11 9.64591598664556e-11
4.159916e-18 0.00680000000000001 5.56063555555556e-11 8.39418606505195e-11
4.425838e-18 0.0144 1.23508710357579e-10 1.34555297926577e-10
4.157308e-18 0.008 7.17114999999999e-11 1.09635663920884e-10
3.988622e-18 0.00319999999999999 2.51479500000001e-11 4.82921178268452e-11
4.310826e-18 0.00880000000000001 8.18130777777775e-11 1.07098245193935e-10
3.9425e-18 0.00119999999999999 1.84172277777774e-11 3.51492611894429e-11
4.183568e-18 0.00359999999999999 3.06704666666668e-11 5.52336398352562e-11
3.847386e-18 0.00119999999999999 1.92857166666668e-11 3.65671872689871e-11
3.962614e-18 0.000400000000000006 5.60600000000016e-12 2.42435585337768e-11
4.41641e-18 0.0152 1.30957907529959e-10 1.40338361590541e-10
4.125296e-18 0.00319999999999999 2.71145888888892e-11 4.88354749960056e-11
4.29439e-18 0.00880000000000001 8.18365333333334e-11 1.07186789607976e-10
4.183004e-18 0.00640000000000001 5.73019833333333e-11 8.46287900695949e-11
4.178422e-18 0.00840000000000001 8.08255944444446e-11 1.09760486912066e-10
3.69807e-18 0 4.70728333333371e-12 2.50656686413377e-11
3.726442e-18 0 6.4322666666666e-12 2.53810917400657e-11
4.547502e-18 0.0184 1.55536961187215e-10 1.60038685040663e-10
4.042086e-18 0.00359999999999999 2.88624666666664e-11 5.5263707801654e-11
4.168212e-18 0.004 3.55015444444445e-11 5.75227475306888e-11
4.344996e-18 0.0152 1.31008352944455e-10 1.40625481296641e-10
4.378894e-18 0.0164 1.41990830526079e-10 1.45253656960194e-10
3.9087448e-18 0.000800000000000011 1.26417666666664e-11 3.05457322440622e-11
4.21023e-18 0.012 1.08838534322679e-10 1.21247404307837e-10
4.52177e-18 0.018 1.49937816906768e-10 1.60381075460767e-10
4.278604e-18 0.00880000000000001 7.70663444444445e-11 9.53712423001426e-11
4.13889e-18 0.00319999999999999 2.71185722222226e-11 4.88240789732599e-11
4.038864e-18 0.000400000000000006 5.61944444444434e-12 2.42137378549333e-11
4.17744e-18 0.00480000000000001 3.99308777777778e-11 6.66453490026844e-11
4.315178e-18 0.0144 1.23587694187193e-10 1.34988358356159e-10
4.184008e-18 0.00680000000000001 6.30937833333332e-11 8.89452456452625e-11
4.2047e-18 0.00359999999999999 2.86523e-11 5.19840133241234e-11
4.01048e-18 0.00519999999999999 4.1698677777778e-11 6.99670605841537e-11
3.85381e-18 0.000400000000000006 7.5068555555557e-12 2.73835764145941e-11
4.461134e-18 0.0164 1.4200559229854e-10 1.45011639883814e-10
3.964734e-18 0.00359999999999999 2.95468500000002e-11 5.63153669385069e-11
3.58764e-18 0 4.70952222222222e-12 2.39943291490981e-11
3.799932e-18 0 5.51226666666661e-12 2.40539088468313e-11
3.854174e-18 0.000400000000000006 7.50873888888915e-12 2.73799924665721e-11
3.77161e-18 0 6.43279444444434e-12 2.53754701744828e-11
4.159988e-18 0.00480000000000001 3.99536500000003e-11 7.05162095587937e-11
7.999186e-18 0.1048 7.29453492009133e-10 3.37804735988271e-10
8.0878376e-18 0.1044 7.41828713394216e-10 3.30179183295467e-10
7.88518600000001e-18 0.1036 7.24425852174092e-10 3.50412143367311e-10
8.2317724e-18 0.104 7.44629893150685e-10 3.20179371093259e-10
7.714072e-18 0.0976 6.70813676940639e-10 3.65878413067022e-10
8.439846e-18 0.1032 7.13409508692949e-10 2.27768624938028e-10
7.982638e-18 0.1024 7.33386891549296e-10 3.4943894361366e-10
8.119278e-18 0.1044 7.42479147336377e-10 3.1775255193567e-10
8.05592599999999e-18 0.1044 7.45358656544901e-10 3.10996211357289e-10
8.189146e-18 0.1036 7.28842637290715e-10 3.22993097215277e-10
7.89156e-18 0.1024 7.31873614788732e-10 3.45288614835086e-10
7.91548e-18 0.1048 7.29846806544901e-10 3.38285616834479e-10
8.39367e-18 0.1056 7.70002628462709e-10 2.53397836156237e-10
7.795808e-18 0.104 7.29829781599408e-10 3.50809985941909e-10
8.775014e-18 0.1024 7.21185588151435e-10 1.95531546660787e-10
7.395906e-18 0.0972 7.09290264840183e-10 3.66646414735606e-10
7.99575e-18 0.104 7.17048587062405e-10 3.33376006549256e-10
8.114232e-18 0.1044 7.38596623211568e-10 3.22102358259638e-10
8.336048e-18 0.1032 7.34562024832251e-10 2.32433749679096e-10
8.3476432e-18 0.1028 7.19885067499518e-10 2.36726749034984e-10
7.7277356e-18 0.1 7.23249779702643e-10 3.61379971418607e-10
8.489724e-18 0.1036 7.20637080244174e-10 2.29170069468365e-10
7.6243724e-18 0.0988 7.03214765905631e-10 3.7553931171657e-10
7.56714e-18 0.0996 7.09737072754947e-10 3.60321077738517e-10
7.592206e-18 0.1 7.05140063546423e-10 3.59233780035683e-10
7.955e-18 0.102 7.17120824434583e-10 3.55068526758184e-10
7.8544536e-18 0.1016 7.19213007947993e-10 3.51992261000784e-10
7.85535e-18 0.1028 7.28813152283105e-10 3.61472652773894e-10
7.791422e-18 0.102 7.17989332410445e-10 3.55615335914291e-10
8.30493199999999e-18 0.1036 7.3921418782344e-10 3.1012035320176e-10
7.986956e-18 0.1028 7.26288827016743e-10 3.23349599772368e-10
8.544656e-18 0.102 7.1656146483268e-10 2.36027698143267e-10
7.994146e-18 0.1028 7.07877438660579e-10 3.11592771749535e-10
7.6092288e-18 0.1 7.13764849467275e-10 3.55153824423176e-10
8.295014e-18 0.1056 7.72264419939117e-10 2.63985458318018e-10
7.50361e-18 0.0996 7.26847712709285e-10 3.51180369777045e-10
7.997346e-18 0.1024 7.34427511502347e-10 3.51190856349369e-10
7.3284e-18 0.0996 7.2783155456621e-10 3.51438748635748e-10
7.521386e-18 0.0976 7.26564477777778e-10 3.59606373139711e-10
8.5294328e-18 0.1024 7.05924455864257e-10 2.27399029428663e-10
7.866818e-18 0.1 7.24604889526658e-10 3.61769977553066e-10
8.265316e-18 0.1056 7.70542075266362e-10 2.53928780238779e-10
8.024622e-18 0.1044 7.46467382800609e-10 3.11065842986081e-10
8.04172799999999e-18 0.1056 7.38809662328767e-10 2.86833014394156e-10
6.948982e-18 0.0888 6.62569834125221e-10 3.16991011431748e-10
7.04272e-18 0.0936 6.86530652702703e-10 3.56368807586208e-10
8.815002e-18 0.1028 7.12701817123287e-10 1.94182947370209e-10
7.71525e-18 0.1008 7.15297172907154e-10 3.60100524095445e-10
7.969786e-18 0.1028 7.22725327777778e-10 3.4369084079602e-10
8.393126e-18 0.1024 7.06435168745042e-10 2.27942633919308e-10
8.472176e-18 0.1036 7.20566284922932e-10 2.29187476281195e-10
7.430886e-18 0.0992 7.26181112480974e-10 3.61086029068644e-10
8.117392e-18 0.104 7.43636533105023e-10 2.40559513885817e-10
8.759644e-18 0.1024 7.1592636087101e-10 2.00011288002252e-10
8.224404e-18 0.104 7.4036369109589e-10 3.19154498254367e-10
7.893968e-18 0.1 7.21092486436021e-10 3.62211978869376e-10
7.663614e-18 0.0972 7.2844231229661e-10 3.42449913556442e-10
8.001884e-18 0.1048 7.29493101978691e-10 3.37821139236687e-10
8.333794e-18 0.1024 7.05401201398803e-10 2.50070272435088e-10
8.03307399999999e-18 0.1044 7.49981492922375e-10 3.15099914555384e-10
8.033378e-18 0.102 7.170234841351e-10 3.54806176880457e-10
7.698298e-18 0.1036 7.24118948200255e-10 3.45546085337828e-10
7.309658e-18 0.0952 7.02777343683409e-10 3.60857088844897e-10
8.6326e-18 0.1036 7.26090116453362e-10 2.11268186005757e-10
7.573406e-18 0.1008 7.17183787671233e-10 3.61456524577684e-10
6.7120288e-18 0.0832 5.99266002435312e-10 3.20339185391145e-10
7.198962e-18 0.0952 6.88014548401826e-10 3.65235315296506e-10
7.308594e-18 0.0952 6.98702534018265e-10 3.64756323201126e-10
7.1398572e-18 0.0952 6.83249955273767e-10 3.59981571545501e-10
7.971274e-18 0.1048 7.29264271461187e-10 3.39995596847927e-10
6.7971172e-18 0.0208 1.55542015905632e-10 8.37038657531540e-12
6.87700639999999e-18 0.0216 1.50916479452055e-10 1.23493961740788e-11
6.6998832e-18 0.0224 1.52898667863754e-10 1.18410954017265e-12
7.0175624e-18 0.0192 1.31156506773212e-10 -9.49536542317797e-13
6.514822e-18 0.0292 1.88748523668189e-10 1.84907773308033e-11
7.23825e-18 0.0156 9.58763647640788e-11 2.32576418683327e-11
6.769424e-18 0.0252 1.63356980672926e-10 2.74833495869986e-11
6.92724e-18 0.018 1.21367644672755e-10 2.70277338996856e-12
6.8549296e-18 0.02 1.43727830441401e-10 1.52858474656481e-11
6.9791092e-18 0.0192 1.32213073668189e-10 6.81644767982349e-12
6.690674e-18 0.0232 1.48370612989045e-10 1.7874918212858e-11
6.728218e-18 0.0208 1.55618403348554e-10 8.4070300529173e-12
7.1650672e-18 0.0244 1.40400304568267e-10 -1.63362823581204e-11
6.626852e-18 0.022 1.53755130169896e-10 1.36227162154424e-13
7.537966e-18 0.0228 1.5047623348554e-10 -6.57397431287491e-12
6.23434e-18 0.0304 2.18909617579909e-10 -1.88687469112493e-11
6.7904832e-18 0.0212 1.583640347793e-10 9.76786327737109e-12
6.910402e-18 0.0196 1.37670715449011e-10 5.7286833379927e-12
7.13328e-18 0.0172 1.06113271452959e-10 -1.16708771386891e-11
7.1451368e-18 0.0168 1.08491708731334e-10 -1.25672141822403e-11
6.5373444e-18 0.0256 1.488771534589e-10 -2.10936657087791e-12
7.286918e-18 0.0148 9.51458916286148e-11 6.13289911735805e-12
6.4313356e-18 0.0288 1.86084029375951e-10 1.4044009773789e-11
6.4010584e-18 0.0264 1.8059956217656e-10 -1.18489730186729e-11
6.419374e-18 0.026 1.79657851065449e-10 -9.67056654568758e-12
6.7403e-18 0.026 1.61837513617167e-10 3.71681230282959e-11
6.6539004e-18 0.024 1.48382662447746e-10 2.55754481130214e-11
6.67325e-18 0.0232 1.58074110273973e-10 -6.49451453142621e-12
6.60566719999999e-18 0.0236 1.43570624286663e-10 2.74411717785826e-11
7.078664e-18 0.0244 1.57874560502283e-10 1.48013499070026e-12
6.803674e-18 0.0208 1.39093291449669e-10 -7.67216973674015e-12
7.316412e-18 0.024 1.2481044276811e-10 -9.21451588102764e-12
6.8204412e-18 0.0204 1.49683660722366e-10 2.07724761122024e-12
6.4414292e-18 0.0256 1.75679867808219e-10 -2.10151008369264e-11
7.080034e-18 0.0192 1.17114422438192e-10 -1.62281333685871e-11
6.337268e-18 0.0276 1.76309970624048e-10 -1.34065563170893e-11
6.78131599999999e-18 0.0256 1.69981921830986e-10 2.65087339452279e-11
6.1951e-18 0.0276 1.77186494672755e-10 -1.29495004839358e-11
6.33412e-18 0.03 1.9217225e-10 8.83556588131107e-13
7.3062092e-18 0.0196 1.1453058934551e-10 -2.84638383646389e-12
6.65467200000001e-18 0.028 1.67874772331554e-10 9.0588974814417e-12
7.056676e-18 0.018 1.19606055465054e-10 6.86234287756877e-13
6.829606e-18 0.02 1.43017458066971e-10 1.53363332949814e-11
6.866904e-18 0.0168 1.1167380125468e-10 4.92499886880169e-13
5.794774e-18 0.0392 2.39687302350981e-10 1.23207699629111e-11
5.907526e-18 0.0344 2.27255794444444e-10 -1.54269021031215e-11
7.577488e-18 0.022 1.33272583028919e-10 4.32524234979452e-12
6.534038e-18 0.0244 1.72725628234398e-10 -1.45756485781718e-11
6.759808e-18 0.0232 1.58631839117199e-10 2.21205198652828e-11
7.191994e-18 0.0168 9.00274828006091e-11 5.38671840642449e-12
7.271266e-18 0.0148 9.50986444444444e-11 6.1213963716169e-12
6.2688812e-18 0.0284 1.94156087975647e-10 -1.54165752438704e-11
6.943762e-18 0.0172 1.00531214831955e-10 -7.47007079813076e-12
7.525472e-18 0.0224 1.47130279299848e-10 -3.16765446014293e-12
7.012652e-18 0.0188 1.28585191704719e-10 2.82604805464055e-12
6.678478e-18 0.0288 1.71846741411342e-10 4.6627763673259e-12
6.45031e-18 0.036 2.18977049322572e-10 8.57942671000422e-12
6.799704e-18 0.0208 1.55552543302892e-10 8.37663703722186e-12
7.140016e-18 0.018 9.83737394318978e-11 7.45111948178743e-13
6.842518e-18 0.0196 1.3759254261796e-10 8.56442278226268e-12
6.8075556e-18 0.0316 1.89853967539177e-10 2.12276750515412e-11
6.5575e-18 0.0216 1.4657466402567e-10 -9.9537914797008e-12
6.152706e-18 0.0324 2.13464106164383e-10 -2.30574054951082e-11
7.408814e-18 0.018 1.35932216362253e-10 -4.35928164563827e-12
6.419764e-18 0.0248 1.73485682191781e-10 -7.70654298502273e-12
5.5732092e-18 0.0448 3.01448026027397e-10 1.1691981305355e-11
6.052768e-18 0.0328 2.12430940030441e-10 -2.25012690376053e-11
6.15030000000001e-18 0.0324 2.13175725190259e-10 -2.83826786066489e-11
