time 	 sumRs 	 sumRo2 	 sumRno2 	 sumRno3 	 sumRnh4 
1000,	-5.573126e-21,	-1.127880e-20,	4.424830e-23,	1.974469e-21,	-2.881180e-21
2000,	-8.929025e-21,	-1.206354e-20,	-9.448117e-23,	1.873301e-21,	-3.121562e-21
3000,	-1.417155e-20,	-1.291159e-20,	-4.036197e-22,	1.695143e-21,	-3.382001e-21
4000,	-2.232716e-20,	-1.382847e-20,	-9.872032e-22,	1.396766e-21,	-3.664168e-21
5000,	-3.501517e-20,	-1.482034e-20,	-2.007988e-21,	9.108630e-22,	-3.969877e-21
6000,	-5.476024e-20,	-1.589414e-20,	-3.720218e-21,	1.326382e-22,	-4.301092e-21
7000,	-8.572660e-20,	-1.705777e-20,	-6.520639e-21,	-1.101068e-21,	-4.659941e-21
8000,	-1.337583e-19,	-1.832042e-20,	-1.102794e-20,	-3.044280e-21,	-5.048729e-21
9000,	-2.084689e-19,	-1.969303e-20,	-1.820642e-20,	-6.092490e-21,	-5.469955e-21
10000,	-3.250671e-19,	-2.118892e-20,	-2.955683e-20,	-1.086088e-20,	-5.926323e-21
11000,	-5.061569e-19,	-2.282493e-20,	-4.741420e-20,	-1.830609e-20,	-6.420770e-21
12000,	-7.880570e-19,	-2.462281e-20,	-7.540620e-20,	-2.991425e-20,	-6.956464e-21
13000,	-1.226444e-18,	-2.661155e-20,	-1.191566e-19,	-4.798885e-20,	-7.536780e-21
14000,	-1.906693e-18,	-2.883171e-20,	-1.873477e-19,	-7.608795e-20,	-8.165553e-21
15000,	-2.962196e-18,	-3.133950e-20,	-2.933117e-19,	-1.196782e-19,	-8.846778e-21
16000,	-4.592559e-18,	-3.421482e-20,	-4.573384e-19,	-1.870914e-19,	-9.584740e-21
17000,	-7.096342e-18,	-3.757387e-20,	-7.097247e-19,	-2.907926e-19,	-1.038431e-20
18000,	-1.090934e-17,	-4.157942e-20,	-1.094744e-18,	-4.490591e-19,	-1.125055e-20
19000,	-1.667253e-17,	-4.646685e-20,	-1.677635e-18,	-6.888574e-19,	-1.218901e-20
20000,	-2.526148e-17,	-5.255716e-20,	-2.548019e-18,	-1.047477e-18,	-1.320465e-20
21000,	-3.784707e-17,	-6.028337e-20,	-3.826254e-18,	-1.575354e-18,	-1.430678e-20
22000,	-5.575348e-17,	-7.014689e-20,	-5.651581e-18,	-2.331869e-18,	-1.550016e-20
23000,	-8.026926e-17,	-8.268420e-20,	-8.164679e-18,	-3.378679e-18,	-1.679306e-20
24000,	-1.124479e-16,	-9.838852e-20,	-1.148933e-17,	-4.771757e-18,	-1.819311e-20
25000,	-1.531636e-16,	-1.180258e-19,	-1.573710e-17,	-6.562236e-18,	-1.970957e-20
26000,	-2.023526e-16,	-1.413259e-19,	-2.093631e-17,	-8.769706e-18,	-2.135254e-20
27000,	-2.592126e-16,	-1.684311e-19,	-2.704427e-17,	-1.138234e-17,	-2.313194e-20
28000,	-3.241806e-16,	-1.996607e-19,	-3.413800e-17,	-1.443326e-17,	-2.505847e-20
29000,	-3.983001e-16,	-2.354845e-19,	-4.234544e-17,	-1.797532e-17,	-2.714447e-20
30000,	-4.824265e-16,	-2.765038e-19,	-5.178316e-17,	-2.206469e-17,	-2.940679e-20
31000,	-5.746104e-16,	-3.223382e-19,	-6.229579e-17,	-2.665001e-17,	-3.185439e-20
32000,	-6.763370e-16,	-3.736381e-19,	-7.406243e-17,	-3.180322e-17,	-3.450531e-20
33000,	-7.932929e-16,	-4.323023e-19,	-8.763650e-17,	-3.775163e-17,	-3.737513e-20
34000,	-9.254359e-16,	-4.988461e-19,	-1.030642e-16,	-4.453997e-17,	-4.048289e-20
35000,	-1.071384e-15,	-5.732567e-19,	-1.202671e-16,	-5.215035e-17,	-4.384892e-20
36000,	-1.238070e-15,	-6.577892e-19,	-1.399399e-16,	-6.086477e-17,	-4.748725e-20
