Total,	hetr,	hety,	
3600,	1.175435e-12,	5.872038e-13,	5.882316e-13,	
Total,	hetr,	hety,	
3600,	1.175435e-12,	5.872038e-13,	5.882316e-13,	
7200,	1.184731e-12,	5.913577e-13,	5.933735e-13,	
10800,	1.194050e-12,	5.955192e-13,	5.985310e-13,	
14400,	1.203385e-12,	5.996807e-13,	6.037040e-13,	
18000,	1.212722e-12,	6.038359e-13,	6.088856e-13,	
21600,	1.222067e-12,	6.079630e-13,	6.141045e-13,	
25200,	1.231436e-12,	6.120932e-13,	6.193432e-13,	
28800,	1.240807e-12,	6.162166e-13,	6.245901e-13,	
32400,	1.250184e-12,	6.203356e-13,	6.298481e-13,	
36000,	1.259567e-12,	6.244501e-13,	6.351170e-13,	
39600,	1.268955e-12,	6.285516e-13,	6.404039e-13,	
43200,	1.278353e-12,	6.326496e-13,	6.457029e-13,	
46800,	1.287754e-12,	6.367414e-13,	6.510129e-13,	
50400,	1.297166e-12,	6.408302e-13,	6.563357e-13,	
54000,	1.306585e-12,	6.449150e-13,	6.616697e-13,	
57600,	1.316007e-12,	6.489943e-13,	6.670126e-13,	
61200,	1.325439e-12,	6.530732e-13,	6.723656e-13,	
64800,	1.334872e-12,	6.571471e-13,	6.777250e-13,	
68400,	1.344315e-12,	6.612183e-13,	6.830972e-13,	
72000,	1.353765e-12,	6.652878e-13,	6.884774e-13,	
75600,	1.363222e-12,	6.693536e-13,	6.938689e-13,	
79200,	1.372685e-12,	6.734181e-13,	6.992669e-13,	
82800,	1.382156e-12,	6.774792e-13,	7.046764e-13,	
86400,	1.391618e-12,	6.815381e-13,	7.100797e-13,	
90000,	1.401085e-12,	6.855836e-13,	7.155018e-13,	
93600,	1.410569e-12,	6.896179e-13,	7.209511e-13,	
97200,	1.420079e-12,	6.936567e-13,	7.264219e-13,	
100800,	1.429594e-12,	6.976913e-13,	7.319031e-13,	
104400,	1.439116e-12,	7.017216e-13,	7.373945e-13,	
108000,	1.448644e-12,	7.057450e-13,	7.428991e-13,	
111600,	1.458179e-12,	7.097646e-13,	7.484146e-13,	
115200,	1.467721e-12,	7.137804e-13,	7.539409e-13,	
118800,	1.477270e-12,	7.177922e-13,	7.594778e-13,	
122400,	1.486825e-12,	7.218000e-13,	7.650253e-13,	
126000,	1.496385e-12,	7.258064e-13,	7.705781e-13,	
129600,	1.505950e-12,	7.298089e-13,	7.761414e-13,	
133200,	1.515523e-12,	7.338076e-13,	7.817151e-13,	
136800,	1.525102e-12,	7.378019e-13,	7.873002e-13,	
140400,	1.534683e-12,	7.417727e-13,	7.929100e-13,	
144000,	1.544289e-12,	7.457478e-13,	7.985410e-13,	
147600,	1.553900e-12,	7.497190e-13,	8.041815e-13,	
151200,	1.563518e-12,	7.536843e-13,	8.098339e-13,	
154800,	1.573144e-12,	7.576285e-13,	8.155152e-13,	
158400,	1.582793e-12,	7.615761e-13,	8.212167e-13,	
162000,	1.592446e-12,	7.655185e-13,	8.269271e-13,	
165600,	1.602093e-12,	7.694415e-13,	8.326516e-13,	
169200,	1.611759e-12,	7.733657e-13,	8.383934e-13,	
172800,	1.621431e-12,	7.772857e-13,	8.441456e-13,	
176400,	1.631095e-12,	7.811848e-13,	8.499099e-13,	
180000,	1.640780e-12,	7.850863e-13,	8.556933e-13,	
183600,	1.650468e-12,	7.889896e-13,	8.614780e-13,	
187200,	1.660166e-12,	7.928906e-13,	8.672751e-13,	
190800,	1.669859e-12,	7.967896e-13,	8.730697e-13,	
194400,	1.679570e-12,	8.006895e-13,	8.788809e-13,	
198000,	1.689286e-12,	8.045846e-13,	8.847011e-13,	
201600,	1.699011e-12,	8.084501e-13,	8.905612e-13,	
205200,	1.708758e-12,	8.123063e-13,	8.964517e-13,	
208800,	1.718527e-12,	8.161649e-13,	9.023624e-13,	
212400,	1.728290e-12,	8.200017e-13,	9.082886e-13,	
Total,	hetr,	hety,	
3600,	1.184150e-12,	5.914882e-13,	5.926620e-13,	
7200,	1.201641e-12,	5.996442e-13,	6.019969e-13,	
10800,	1.219168e-12,	6.077935e-13,	6.113743e-13,	
14400,	1.236721e-12,	6.159452e-13,	6.207761e-13,	
18000,	1.254310e-12,	6.240905e-13,	6.302197e-13,	
21600,	1.271931e-12,	6.322225e-13,	6.397090e-13,	
25200,	1.289594e-12,	6.403565e-13,	6.492375e-13,	
28800,	1.307288e-12,	6.484796e-13,	6.588088e-13,	
32400,	1.325020e-12,	6.566001e-13,	6.684195e-13,	
36000,	1.342782e-12,	6.647097e-13,	6.780728e-13,	
