hetr,	hety,	
3600,	120,	120,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
14400,	120,	120,	
18000,	120,	120,	
21600,	120,	120,	
25200,	120,	120,	
28800,	120,	120,	
32400,	120,	120,	
36000,	120,	120,	
39600,	120,	120,	
43200,	120,	120,	
46800,	120,	120,	
50400,	120,	120,	
54000,	120,	120,	
57600,	120,	120,	
61200,	120,	120,	
64800,	120,	120,	
68400,	120,	120,	
72000,	120,	120,	
75600,	120,	120,	
79200,	120,	120,	
82800,	120,	120,	
86400,	120,	120,	
90000,	120,	120,	
93600,	120,	120,	
97200,	120,	120,	
100800,	120,	120,	
104400,	120,	120,	
108000,	120,	120,	
111600,	120,	120,	
115200,	120,	120,	
118800,	120,	120,	
122400,	120,	120,	
126000,	120,	120,	
129600,	120,	120,	
133200,	120,	120,	
136800,	120,	120,	
140400,	120,	120,	
144000,	120,	120,	
147600,	120,	120,	
151200,	120,	120,	
154800,	120,	120,	
158400,	120,	120,	
162000,	120,	120,	
165600,	120,	120,	
169200,	120,	120,	
172800,	120,	120,	
176400,	120,	120,	
180000,	120,	120,	
183600,	120,	120,	
187200,	120,	120,	
190800,	120,	120,	
194400,	120,	120,	
198000,	120,	120,	
201600,	120,	123,	
205200,	120,	124,	
208800,	120,	124,	
212400,	120,	128,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
14400,	120,	120,	
18000,	120,	120,	
21600,	120,	120,	
25200,	120,	120,	
28800,	120,	120,	
32400,	120,	120,	
36000,	120,	120,	
39600,	120,	120,	
43200,	120,	120,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
14400,	120,	120,	
18000,	120,	120,	
21600,	120,	120,	
25200,	120,	120,	
28800,	120,	120,	
32400,	120,	120,	
36000,	120,	120,	
39600,	120,	120,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
14400,	120,	120,	
18000,	120,	120,	
21600,	120,	120,	
25200,	120,	120,	
28800,	120,	120,	
32400,	120,	120,	
36000,	120,	120,	
39600,	120,	120,	
43200,	120,	120,	
46800,	120,	120,	
50400,	120,	120,	
54000,	120,	120,	
57600,	120,	120,	
61200,	120,	120,	
64800,	120,	120,	
68400,	120,	120,	
72000,	120,	120,	
75600,	120,	120,	
79200,	120,	120,	
82800,	120,	120,	
86400,	120,	120,	
90000,	120,	120,	
93600,	120,	120,	
97200,	120,	120,	
100800,	120,	120,	
104400,	120,	120,	
108000,	120,	120,	
111600,	120,	120,	
115200,	120,	122,	
118800,	121,	125,	
122400,	121,	129,	
126000,	121,	130,	
129600,	121,	133,	
133200,	121,	134,	
136800,	123,	139,	
140400,	124,	140,	
144000,	125,	140,	
147600,	125,	142,	
151200,	127,	144,	
154800,	128,	145,	
158400,	130,	149,	
162000,	133,	153,	
165600,	133,	159,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
14400,	120,	120,	
18000,	120,	120,	
21600,	120,	120,	
25200,	120,	120,	
28800,	120,	120,	
32400,	120,	120,	
36000,	120,	120,	
39600,	120,	120,	
43200,	120,	120,	
46800,	120,	120,	
50400,	120,	120,	
54000,	120,	120,	
57600,	120,	120,	
61200,	120,	120,	
64800,	120,	120,	
68400,	120,	120,	
72000,	120,	120,	
75600,	120,	120,	
79200,	120,	120,	
82800,	120,	120,	
86400,	120,	120,	
90000,	120,	120,	
93600,	120,	120,	
97200,	120,	120,	
100800,	120,	120,	
104400,	120,	120,	
108000,	120,	120,	
111600,	120,	120,	
115200,	120,	122,	
118800,	121,	125,	
122400,	121,	129,	
126000,	121,	130,	
129600,	121,	133,	
133200,	121,	134,	
136800,	123,	139,	
140400,	124,	140,	
144000,	125,	140,	
147600,	125,	142,	
151200,	127,	144,	
154800,	128,	145,	
158400,	130,	149,	
162000,	133,	153,	
165600,	133,	159,	
169200,	135,	159,	
172800,	137,	159,	
176400,	138,	161,	
180000,	139,	161,	
183600,	141,	164,	
187200,	141,	166,	
190800,	143,	167,	
194400,	143,	169,	
198000,	144,	169,	
201600,	145,	171,	
205200,	147,	173,	
208800,	148,	174,	
212400,	149,	176,	
216000,	151,	179,	
219600,	152,	179,	
223200,	154,	181,	
226800,	155,	181,	
230400,	160,	182,	
234000,	160,	182,	
237600,	160,	182,	
241200,	160,	188,	
244800,	160,	192,	
248400,	160,	194,	
252000,	160,	195,	
hetr,	hety,	
3600,	120,	120,	
7200,	120,	120,	
10800,	120,	120,	
14400,	120,	120,	
18000,	120,	120,	
21600,	120,	120,	
25200,	120,	120,	
28800,	120,	120,	
32400,	120,	120,	
36000,	120,	120,	
39600,	120,	120,	
43200,	120,	120,	
46800,	120,	120,	
50400,	120,	120,	
54000,	120,	120,	
57600,	120,	120,	
