Total,	hetr,	hety,	
1000000,	6.236410e-14,	3.893273e-14,	2.343137e-14,	
2000000,	1.569451e-13,	1.073436e-13,	4.960154e-14,	
3000000,	2.805364e-13,	1.969369e-13,	8.359950e-14,	
4000000,	4.128528e-13,	2.913960e-13,	1.214569e-13,	
5000000,	5.490217e-13,	3.872378e-13,	1.617839e-13,	
6000000,	6.887770e-13,	4.847287e-13,	2.040483e-13,	
7000000,	8.306523e-13,	5.837495e-13,	2.469028e-13,	
8000000,	9.738291e-13,	6.842751e-13,	2.895540e-13,	
9000000,	1.118058e-12,	7.861575e-13,	3.319010e-13,	
10000000,	1.263120e-12,	8.897618e-13,	3.733587e-13,	
11000000,	1.408535e-12,	9.957597e-13,	4.127757e-13,	
12000000,	1.554413e-12,	1.104150e-12,	4.502625e-13,	
13000000,	1.696867e-12,	1.210167e-12,	4.867000e-13,	
14000000,	1.838602e-12,	1.315719e-12,	5.228831e-13,	
15000000,	1.981005e-12,	1.422054e-12,	5.589509e-13,	
16000000,	2.123816e-12,	1.530461e-12,	5.933546e-13,	
17000000,	2.267422e-12,	1.641574e-12,	6.258481e-13,	
18000000,	2.412125e-12,	1.754236e-12,	6.578893e-13,	
19000000,	2.552663e-12,	1.864226e-12,	6.884371e-13,	
20000000,	2.692016e-12,	1.973832e-12,	7.181842e-13,	
21000000,	2.831857e-12,	2.084997e-12,	7.468598e-13,	
22000000,	2.972900e-12,	2.198767e-12,	7.741334e-13,	
23000000,	3.114874e-12,	2.314172e-12,	8.007023e-13,	
24000000,	3.254870e-12,	2.428554e-12,	8.263168e-13,	
25000000,	3.391632e-12,	2.540743e-12,	8.508893e-13,	
26000000,	3.528967e-12,	2.654076e-12,	8.748906e-13,	
27000000,	3.667730e-12,	2.769793e-12,	8.979373e-13,	
28000000,	3.807556e-12,	2.887072e-12,	9.204840e-13,	
29000000,	3.945054e-12,	3.002837e-12,	9.422179e-13,	
30000000,	4.079964e-12,	3.116719e-12,	9.632455e-13,	
31000000,	4.215452e-12,	3.231432e-12,	9.840207e-13,	
32000000,	4.352518e-12,	3.348141e-12,	1.004378e-12,	
33000000,	4.490920e-12,	3.466408e-12,	1.024512e-12,	
34000000,	4.628406e-12,	3.584167e-12,	1.044239e-12,	
35000000,	4.762200e-12,	3.698915e-12,	1.063285e-12,	
36000000,	4.896566e-12,	3.814321e-12,	1.082245e-12,	
37000000,	5.032406e-12,	3.931235e-12,	1.101171e-12,	
38000000,	5.169803e-12,	4.049887e-12,	1.119916e-12,	
39000000,	5.308277e-12,	4.169651e-12,	1.138626e-12,	
40000000,	5.441830e-12,	4.285255e-12,	1.156576e-12,	
41000000,	5.575492e-12,	4.401012e-12,	1.174481e-12,	
42000000,	5.710370e-12,	4.517854e-12,	1.192515e-12,	
43000000,	5.846970e-12,	4.636544e-12,	1.210426e-12,	
