hetr,	hety,	
1000000,	822,	500,	
2000000,	2120,	1009,	
3000000,	3983,	1718,	
4000000,	5873,	2393,	
5000000,	7811,	3305,	
6000000,	9740,	4098,	
7000000,	11732,	4969,	
8000000,	13891,	5845,	
9000000,	15912,	6706,	
10000000,	18006,	7552,	
11000000,	20131,	8372,	
12000000,	22234,	9105,	
13000000,	24329,	9829,	
14000000,	26583,	10551,	
15000000,	28760,	11254,	
16000000,	30968,	11976,	
17000000,	33200,	12608,	
18000000,	35478,	13262,	
19000000,	37679,	13870,	
20000000,	39934,	14464,	
21000000,	42142,	15043,	
22000000,	44503,	15622,	
23000000,	46922,	16184,	
24000000,	49113,	16696,	
25000000,	51334,	17177,	
26000000,	53554,	17673,	
27000000,	55990,	18166,	
28000000,	58459,	18603,	
29000000,	60735,	19017,	
30000000,	62968,	19430,	
31000000,	65263,	19857,	
32000000,	67747,	20292,	
33000000,	70195,	20698,	
34000000,	72409,	21082,	
35000000,	74642,	21452,	
36000000,	76983,	21822,	
37000000,	79409,	22226,	
38000000,	81800,	22605,	
39000000,	84205,	22982,	
40000000,	86588,	23321,	
41000000,	88914,	23699,	
42000000,	91229,	24048,	
43000000,	93630,	24401,	
