Total,	hetr,	hety,	
1000000,	1.480032e-14,	9.672856e-15,	5.127465e-15,	
2000000,	6.382992e-14,	4.927469e-14,	1.455523e-14,	
3000000,	2.557024e-13,	2.146444e-13,	4.105796e-14,	
4000000,	8.014366e-13,	6.871389e-13,	1.142977e-13,	
5000000,	1.843298e-12,	1.535664e-12,	3.076343e-13,	
6000000,	3.388346e-12,	2.633112e-12,	7.552340e-13,	
7000000,	5.137250e-12,	3.714696e-12,	1.422554e-12,	
8000000,	6.770327e-12,	4.750809e-12,	2.019517e-12,	
9000000,	8.221757e-12,	5.756755e-12,	2.465003e-12,	
10000000,	9.507588e-12,	6.714080e-12,	2.793508e-12,	
11000000,	1.065187e-11,	7.608614e-12,	3.043253e-12,	
12000000,	1.168378e-11,	8.443426e-12,	3.240359e-12,	
Total,	hetr,	hety,	
1000000,	1.421620e-14,	9.168527e-15,	5.047676e-15,	
2000000,	5.074374e-14,	3.730592e-14,	1.343781e-14,	
3000000,	1.277589e-13,	9.592244e-14,	3.183650e-14,	
4000000,	2.324988e-13,	1.671858e-13,	6.531298e-14,	
5000000,	3.588729e-13,	2.415793e-13,	1.172936e-13,	
6000000,	5.010771e-13,	3.164416e-13,	1.846355e-13,	
7000000,	6.502588e-13,	3.875296e-13,	2.627292e-13,	
8000000,	8.082487e-13,	4.574468e-13,	3.508019e-13,	
9000000,	9.726815e-13,	5.271459e-13,	4.455356e-13,	
10000000,	1.141296e-12,	5.961212e-13,	5.451750e-13,	
11000000,	1.309078e-12,	6.620802e-13,	6.469978e-13,	
12000000,	1.480765e-12,	7.275691e-13,	7.531956e-13,	
13000000,	1.656438e-12,	7.928095e-13,	8.636289e-13,	
14000000,	1.831767e-12,	8.562480e-13,	9.755194e-13,	
15000000,	2.006920e-12,	9.179473e-13,	1.088972e-12,	
16000000,	2.185659e-12,	9.787820e-13,	1.206877e-12,	
17000000,	2.368202e-12,	1.038631e-12,	1.329571e-12,	
18000000,	2.546556e-12,	1.095640e-12,	1.450916e-12,	
19000000,	2.727648e-12,	1.152168e-12,	1.575480e-12,	
20000000,	2.912311e-12,	1.208026e-12,	1.704285e-12,	
21000000,	3.093828e-12,	1.261205e-12,	1.832623e-12,	
22000000,	3.277271e-12,	1.313060e-12,	1.964210e-12,	
23000000,	3.464635e-12,	1.363689e-12,	2.100945e-12,	
24000000,	3.651357e-12,	1.412270e-12,	2.239088e-12,	
25000000,	3.837921e-12,	1.459067e-12,	2.378854e-12,	
26000000,	4.028429e-12,	1.504739e-12,	2.523691e-12,	
27000000,	4.216641e-12,	1.547675e-12,	2.668966e-12,	
28000000,	4.402968e-12,	1.588139e-12,	2.814828e-12,	
29000000,	4.593379e-12,	1.627133e-12,	2.966247e-12,	
30000000,	4.786546e-12,	1.664339e-12,	3.122207e-12,	
31000000,	4.981056e-12,	1.699805e-12,	3.281251e-12,	
32000000,	5.179929e-12,	1.733938e-12,	3.445991e-12,	
33000000,	5.379934e-12,	1.766118e-12,	3.613816e-12,	
34000000,	5.579195e-12,	1.796119e-12,	3.783076e-12,	
35000000,	5.783148e-12,	1.824537e-12,	3.958611e-12,	
36000000,	5.986528e-12,	1.850596e-12,	4.135931e-12,	
37000000,	6.191247e-12,	1.874725e-12,	4.316522e-12,	
38000000,	6.400926e-12,	1.897195e-12,	4.503731e-12,	
39000000,	6.608882e-12,	1.917347e-12,	4.691535e-12,	
40000000,	6.819321e-12,	1.935829e-12,	4.883492e-12,	
41000000,	7.034329e-12,	1.952795e-12,	5.081534e-12,	
42000000,	7.245612e-12,	1.967797e-12,	5.277815e-12,	
43000000,	7.461271e-12,	1.981594e-12,	5.479676e-12,	
