hetr,	hety,	
1000000,	195,	100,	
2000000,	980,	295,	
3000000,	4274,	815,	
4000000,	13754,	2300,	
5000000,	30866,	6169,	
6000000,	53081,	15111,	
7000000,	74892,	28613,	
8000000,	96035,	40624,	
9000000,	116279,	49598,	
10000000,	135567,	56291,	
11000000,	153724,	61364,	
12000000,	170602,	65380,	
hetr,	hety,	
1000000,	195,	100,	
2000000,	752,	260,	
3000000,	1934,	645,	
4000000,	3337,	1315,	
5000000,	4869,	2366,	
6000000,	6364,	3689,	
7000000,	7850,	5287,	
8000000,	9239,	7078,	
9000000,	10613,	8936,	
10000000,	12050,	11011,	
11000000,	13353,	13049,	
12000000,	14736,	15165,	
13000000,	16040,	17498,	
14000000,	17323,	19697,	
15000000,	18583,	21984,	
16000000,	19803,	24407,	
17000000,	20971,	26885,	
18000000,	22091,	29276,	
19000000,	23242,	31881,	
20000000,	24332,	34453,	
21000000,	25477,	36989,	
22000000,	26513,	39660,	
23000000,	27506,	42463,	
24000000,	28531,	45249,	
25000000,	29504,	48107,	
26000000,	30397,	50982,	
27000000,	31288,	53914,	
28000000,	32070,	56899,	
29000000,	32850,	59948,	
30000000,	33590,	63096,	
31000000,	34299,	66271,	
32000000,	35012,	69590,	
33000000,	35700,	73014,	
34000000,	36283,	76505,	
35000000,	36839,	80031,	
36000000,	37351,	83672,	
37000000,	37846,	87286,	
38000000,	38314,	91138,	
39000000,	38729,	94886,	
40000000,	39083,	98681,	
41000000,	39437,	102706,	
42000000,	39738,	106641,	
43000000,	40012,	110744,	
