hetr,	hety,	
1000000,	660,	20,	
2000000,	1968,	43,	
3000000,	3937,	87,	
4000000,	6222,	156,	
5000000,	8411,	252,	
6000000,	10855,	347,	
7000000,	13222,	490,	
8000000,	15556,	622,	
9000000,	17907,	750,	
10000000,	20282,	909,	
11000000,	22694,	1081,	
12000000,	25250,	1242,	
13000000,	27518,	1401,	
14000000,	30023,	1580,	
15000000,	32430,	1748,	
16000000,	34775,	1922,	
17000000,	37174,	2098,	
18000000,	39665,	2291,	
19000000,	42037,	2493,	
20000000,	44383,	2674,	
21000000,	46726,	2865,	
22000000,	49083,	3054,	
23000000,	51474,	3254,	
24000000,	53933,	3463,	
25000000,	56284,	3650,	
26000000,	58655,	3885,	
27000000,	61036,	4138,	
28000000,	63396,	4357,	
29000000,	65799,	4618,	
30000000,	68118,	4845,	
31000000,	70415,	5090,	
32000000,	72597,	5324,	
33000000,	74882,	5586,	
34000000,	77177,	5881,	
35000000,	79482,	6124,	
36000000,	81715,	6407,	
37000000,	83961,	6722,	
38000000,	86237,	7016,	
39000000,	88282,	7283,	
40000000,	90357,	7618,	
41000000,	92410,	7949,	
42000000,	94550,	8305,	
43000000,	96696,	8689,	
