Total,	hetr,	hety,	
1000000,	2.958716e-14,	1.933293e-14,	1.025423e-14,	
2000000,	1.269510e-13,	9.785557e-14,	2.909541e-14,	
3000000,	4.961933e-13,	4.142730e-13,	8.192032e-14,	
4000000,	1.327987e-12,	1.101473e-12,	2.265143e-13,	
5000000,	2.370645e-12,	1.774874e-12,	5.957711e-13,	
6000000,	3.803674e-12,	2.382371e-12,	1.421303e-12,	
7000000,	5.892079e-12,	2.967785e-12,	2.924295e-12,	
8000000,	8.757275e-12,	3.592178e-12,	5.165098e-12,	
9000000,	1.257397e-11,	4.350854e-12,	8.223121e-12,	
Total,	hetr,	hety,	
1000000,	2.716135e-14,	1.713127e-14,	1.003008e-14,	
2000000,	8.293628e-14,	5.643445e-14,	2.650183e-14,	
3000000,	1.785986e-13,	1.154047e-13,	6.319394e-14,	
4000000,	3.068892e-13,	1.787173e-13,	1.281719e-13,	
5000000,	4.592750e-13,	2.423228e-13,	2.169521e-13,	
6000000,	6.249060e-13,	3.058247e-13,	3.190812e-13,	
7000000,	7.982887e-13,	3.696372e-13,	4.286515e-13,	
8000000,	9.772244e-13,	4.339565e-13,	5.432679e-13,	
9000000,	1.156099e-12,	4.972409e-13,	6.588584e-13,	
10000000,	1.334181e-12,	5.595371e-13,	7.746437e-13,	
11000000,	1.514848e-12,	6.220703e-13,	8.927780e-13,	
12000000,	1.697897e-12,	6.849013e-13,	1.012996e-12,	
13000000,	1.878470e-12,	7.463372e-13,	1.132132e-12,	
14000000,	2.058001e-12,	8.069090e-13,	1.251092e-12,	
15000000,	2.239978e-12,	8.677085e-13,	1.372269e-12,	
16000000,	2.422102e-12,	9.278327e-13,	1.494269e-12,	
17000000,	2.601177e-12,	9.862694e-13,	1.614908e-12,	
18000000,	2.782649e-12,	1.044722e-12,	1.737926e-12,	
19000000,	2.965220e-12,	1.102702e-12,	1.862518e-12,	
20000000,	3.143888e-12,	1.158824e-12,	1.985063e-12,	
21000000,	3.325013e-12,	1.214900e-12,	2.110114e-12,	
22000000,	3.509080e-12,	1.270940e-12,	2.238140e-12,	
23000000,	3.687969e-12,	1.324773e-12,	2.363196e-12,	
24000000,	3.869376e-12,	1.378454e-12,	2.490921e-12,	
25000000,	4.052352e-12,	1.431803e-12,	2.620549e-12,	
26000000,	4.231166e-12,	1.483393e-12,	2.747773e-12,	
27000000,	4.412887e-12,	1.534849e-12,	2.878038e-12,	
28000000,	4.593099e-12,	1.584894e-12,	3.008205e-12,	
29000000,	4.768727e-12,	1.632925e-12,	3.135802e-12,	
30000000,	4.947234e-12,	1.680864e-12,	3.266371e-12,	
31000000,	5.126410e-12,	1.728270e-12,	3.398139e-12,	
32000000,	5.306333e-12,	1.775129e-12,	3.531204e-12,	
33000000,	5.489441e-12,	1.821807e-12,	3.667635e-12,	
34000000,	5.669336e-12,	1.866883e-12,	3.802452e-12,	
35000000,	5.850281e-12,	1.911383e-12,	3.938898e-12,	
36000000,	6.034398e-12,	1.955658e-12,	4.078741e-12,	
37000000,	6.214243e-12,	1.998143e-12,	4.216099e-12,	
38000000,	6.396417e-12,	2.040201e-12,	4.356216e-12,	
39000000,	6.579621e-12,	2.081554e-12,	4.498067e-12,	
40000000,	6.760135e-12,	2.121601e-12,	4.638534e-12,	
41000000,	6.943809e-12,	2.161389e-12,	4.782419e-12,	
42000000,	7.126313e-12,	2.200013e-12,	4.926300e-12,	
43000000,	7.308389e-12,	2.237727e-12,	5.070663e-12,	
