hetr,	hety,	
1000000,	393,	200,	
2000000,	1925,	585,	
3000000,	8252,	1638,	
4000000,	22120,	4534,	
5000000,	35762,	11913,	
6000000,	48081,	28487,	
7000000,	59919,	58692,	
8000000,	72480,	103928,	
9000000,	87939,	165553,	
hetr,	hety,	
1000000,	362,	200,	
2000000,	1129,	517,	
3000000,	2314,	1296,	
4000000,	3594,	2583,	
5000000,	4884,	4361,	
6000000,	6138,	6428,	
7000000,	7449,	8642,	
8000000,	8807,	10979,	
9000000,	10049,	13317,	
10000000,	11310,	15609,	
11000000,	12589,	18059,	
12000000,	13868,	20465,	
13000000,	15084,	22883,	
14000000,	16253,	25276,	
15000000,	17538,	27780,	
16000000,	18730,	30231,	
17000000,	19909,	32612,	
18000000,	21086,	35129,	
19000000,	22316,	37639,	
20000000,	23436,	40103,	
21000000,	24575,	42691,	
22000000,	25750,	45272,	
23000000,	26846,	47748,	
24000000,	27897,	50286,	
25000000,	28952,	52968,	
26000000,	29980,	55504,	
27000000,	31045,	58203,	
28000000,	32071,	60818,	
29000000,	33009,	63390,	
30000000,	34045,	65949,	
31000000,	34979,	68653,	
32000000,	35981,	71385,	
33000000,	36879,	74130,	
34000000,	37757,	76864,	
35000000,	38692,	79698,	
36000000,	39593,	82504,	
37000000,	40477,	85194,	
38000000,	41349,	88035,	
39000000,	42170,	90899,	
40000000,	42974,	93809,	
41000000,	43842,	96654,	
42000000,	44583,	99575,	
43000000,	45324,	102507,	
