Total,	hetr,	hety,	
1000000,	2.754862e-14,	1.763359e-14,	9.915024e-15,	
2000000,	8.778802e-14,	6.323187e-14,	2.455615e-14,	
3000000,	1.903745e-13,	1.401769e-13,	5.019755e-14,	
4000000,	3.148759e-13,	2.282573e-13,	8.661861e-14,	
5000000,	4.490677e-13,	3.161435e-13,	1.329242e-13,	
6000000,	5.924965e-13,	4.039509e-13,	1.885456e-13,	
7000000,	7.424252e-13,	4.926927e-13,	2.497325e-13,	
8000000,	8.967024e-13,	5.822452e-13,	3.144573e-13,	
9000000,	1.047901e-12,	6.684377e-13,	3.794631e-13,	
10000000,	1.202059e-12,	7.540964e-13,	4.479623e-13,	
11000000,	1.358997e-12,	8.397636e-13,	5.192332e-13,	
12000000,	1.518210e-12,	9.259358e-13,	5.922746e-13,	
13000000,	1.679198e-12,	1.012835e-12,	6.663635e-13,	
14000000,	1.838639e-12,	1.099017e-12,	7.396223e-13,	
15000000,	1.995214e-12,	1.183495e-12,	8.117187e-13,	
16000000,	2.153137e-12,	1.268361e-12,	8.847767e-13,	
17000000,	2.312298e-12,	1.354119e-12,	9.581795e-13,	
18000000,	2.472635e-12,	1.441017e-12,	1.031617e-12,	
19000000,	2.634076e-12,	1.529110e-12,	1.104966e-12,	
20000000,	2.789792e-12,	1.614695e-12,	1.175098e-12,	
21000000,	2.946288e-12,	1.700828e-12,	1.245461e-12,	
22000000,	3.104444e-12,	1.787385e-12,	1.317059e-12,	
23000000,	3.264221e-12,	1.874991e-12,	1.389230e-12,	
24000000,	3.425137e-12,	1.964035e-12,	1.461103e-12,	
25000000,	3.584491e-12,	2.053415e-12,	1.531075e-12,	
26000000,	3.740123e-12,	2.141216e-12,	1.598907e-12,	
27000000,	3.897798e-12,	2.229260e-12,	1.668538e-12,	
28000000,	4.056918e-12,	2.318354e-12,	1.738563e-12,	
29000000,	4.216936e-12,	2.409072e-12,	1.807864e-12,	
30000000,	4.376036e-12,	2.500797e-12,	1.875239e-12,	
31000000,	4.531611e-12,	2.589933e-12,	1.941678e-12,	
32000000,	4.688978e-12,	2.679254e-12,	2.009724e-12,	
33000000,	4.847673e-12,	2.769480e-12,	2.078193e-12,	
34000000,	5.007102e-12,	2.861644e-12,	2.145458e-12,	
35000000,	5.168104e-12,	2.955321e-12,	2.212782e-12,	
36000000,	5.324191e-12,	3.045379e-12,	2.278812e-12,	
37000000,	5.481707e-12,	3.135367e-12,	2.346340e-12,	
38000000,	5.640357e-12,	3.226409e-12,	2.413948e-12,	
39000000,	5.800449e-12,	3.319295e-12,	2.481155e-12,	
40000000,	5.962496e-12,	3.412946e-12,	2.549551e-12,	
41000000,	6.115848e-12,	3.500911e-12,	2.614937e-12,	
42000000,	6.270562e-12,	3.588943e-12,	2.681619e-12,	
43000000,	6.426864e-12,	3.677805e-12,	2.749058e-12,	
