sub,	o2,	no2,	no3,	nh4,	
4000,	1.000000e-20,	9.231818e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
8000,	1.000000e-20,	9.216594e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
12000,	1.000000e-20,	9.201382e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
16000,	1.000000e-20,	9.186017e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
20000,	1.000000e-20,	9.170484e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
24000,	1.000000e-20,	9.154783e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
28000,	1.000000e-20,	9.138914e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
32000,	1.000000e-20,	9.122894e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
36000,	1.000000e-20,	9.106710e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
40000,	1.000000e-20,	9.090369e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
44000,	1.000000e-20,	9.073876e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
48000,	1.000000e-20,	9.057232e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
52000,	1.000000e-20,	9.040443e-06,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
sub,	o2,	no2,	no3,	nh4,	
4000,	1.000000e-20,	9.229586e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
8000,	1.000000e-20,	9.090940e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
12000,	1.000000e-20,	8.939076e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
sub,	o2,	no2,	no3,	nh4,	
4000,	1.000000e-20,	4.615000e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
8000,	1.000000e-20,	4.578793e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
12000,	1.000000e-20,	4.540689e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
16000,	1.000000e-20,	4.500811e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
20000,	1.000000e-20,	4.459262e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
24000,	1.000000e-20,	4.416256e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
28000,	1.000000e-20,	4.372062e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
32000,	1.000000e-20,	4.326790e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
36000,	1.000000e-20,	4.280802e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
40000,	1.000000e-20,	4.234209e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
44000,	1.000000e-20,	4.187348e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
48000,	1.000000e-20,	4.140501e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
52000,	1.000000e-20,	4.093673e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
56000,	1.000000e-20,	4.047221e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
60000,	1.000000e-20,	4.001239e-05,	1.000000e-20,	1.000000e-20,	1.000000e-20,	
