hetr,	hety,	
4000,	80,	80,	
8000,	80,	80,	
12000,	80,	80,	
16000,	80,	80,	
20000,	80,	80,	
24000,	80,	80,	
28000,	80,	80,	
32000,	80,	80,	
36000,	80,	80,	
40000,	80,	80,	
44000,	80,	80,	
48000,	80,	80,	
52000,	80,	80,	
hetr,	hety,	
4000,	80,	80,	
8000,	80,	80,	
12000,	113,	100,	
hetr,	hety,	
4000,	80,	80,	
8000,	80,	80,	
12000,	80,	80,	
16000,	80,	80,	
20000,	96,	92,	
24000,	120,	117,	
28000,	141,	127,	
32000,	155,	147,	
36000,	160,	160,	
40000,	160,	160,	
44000,	167,	164,	
48000,	185,	176,	
52000,	212,	189,	
56000,	237,	213,	
60000,	266,	243,	
64000,	292,	262,	
68000,	304,	285,	
72000,	317,	303,	
76000,	327,	317,	
80000,	349,	329,	
84000,	371,	345,	
88000,	398,	360,	
92000,	425,	377,	
96000,	458,	405,	
100000,	502,	430,	
104000,	524,	466,	
108000,	561,	503,	
112000,	582,	540,	
116000,	607,	565,	
120000,	634,	586,	
124000,	660,	605,	
128000,	681,	624,	
132000,	706,	649,	
136000,	730,	671,	
140000,	765,	699,	
144000,	801,	726,	
148000,	844,	752,	
152000,	877,	781,	
156000,	915,	812,	
160000,	953,	851,	
164000,	994,	897,	
168000,	1032,	929,	
172000,	1072,	962,	
176000,	1101,	998,	
180000,	1144,	1036,	
184000,	1169,	1076,	
188000,	1200,	1098,	
192000,	1243,	1129,	
196000,	1273,	1166,	
200000,	1300,	1197,	
204000,	1332,	1223,	
208000,	1368,	1260,	
212000,	1403,	1290,	
216000,	1442,	1323,	
220000,	1483,	1353,	
224000,	1517,	1389,	
228000,	1557,	1425,	
232000,	1597,	1467,	
236000,	1629,	1500,	
240000,	1663,	1535,	
244000,	1704,	1573,	
248000,	1753,	1607,	
252000,	1803,	1643,	
256000,	1859,	1680,	
260000,	1909,	1720,	
264000,	1953,	1760,	
268000,	2001,	1800,	
272000,	2036,	1831,	
276000,	2075,	1873,	
280000,	2103,	1908,	
284000,	2139,	1947,	
288000,	2188,	1998,	
292000,	2231,	2030,	
296000,	2270,	2063,	
300000,	2302,	2108,	
304000,	2345,	2153,	
308000,	2376,	2200,	
312000,	2416,	2237,	
316000,	2464,	2271,	
320000,	2497,	2305,	
324000,	2537,	2337,	
328000,	2575,	2378,	
332000,	2609,	2422,	
336000,	2650,	2464,	
340000,	2690,	2507,	
344000,	2725,	2540,	
348000,	2768,	2581,	
352000,	2813,	2616,	
356000,	2857,	2660,	
360000,	2899,	2694,	
364000,	2938,	2727,	
368000,	2992,	2771,	
372000,	3038,	2814,	
376000,	3080,	2851,	
380000,	3124,	2885,	
384000,	3169,	2923,	
388000,	3206,	2964,	
392000,	3237,	3002,	
hetr,	hety,	
4000,	80,	80,	
8000,	80,	80,	
12000,	80,	80,	
16000,	80,	80,	
20000,	80,	80,	
24000,	80,	80,	
28000,	83,	80,	
32000,	95,	93,	
36000,	111,	109,	
40000,	122,	120,	
44000,	136,	127,	
48000,	147,	138,	
52000,	155,	149,	
56000,	160,	159,	
60000,	160,	160,	
64000,	160,	160,	
68000,	162,	161,	
72000,	168,	166,	
hetr,	hety,	
4000,	80,	80,	
8000,	80,	80,	
12000,	80,	80,	
16000,	80,	80,	
20000,	80,	80,	
24000,	80,	80,	
28000,	80,	80,	
32000,	80,	80,	
36000,	80,	80,	
40000,	80,	80,	
44000,	80,	80,	
48000,	80,	80,	
52000,	85,	86,	
hetr,	hety,	
4000,	80,	80,	
8000,	80,	80,	
12000,	80,	80,	
16000,	80,	80,	
20000,	80,	80,	
24000,	89,	90,	
28000,	103,	103,	
32000,	117,	120,	
36000,	128,	123,	
40000,	141,	138,	
44000,	148,	149,	
48000,	158,	156,	
52000,	160,	160,	
56000,	160,	161,	
60000,	160,	161,	
64000,	161,	162,	
68000,	168,	167,	
72000,	170,	174,	
76000,	180,	183,	
80000,	187,	190,	
84000,	197,	201,	
88000,	210,	214,	
92000,	227,	223,	
96000,	239,	235,	
100000,	254,	251,	
104000,	261,	262,	
108000,	272,	272,	
112000,	277,	286,	
116000,	286,	293,	
120000,	295,	300,	
124000,	300,	305,	
128000,	308,	309,	
132000,	317,	313,	
136000,	321,	317,	
140000,	323,	323,	
144000,	326,	328,	
148000,	334,	332,	
152000,	340,	338,	
156000,	342,	346,	
160000,	351,	356,	
164000,	355,	363,	
168000,	360,	375,	
172000,	363,	390,	
176000,	372,	393,	
180000,	379,	404,	
184000,	392,	412,	
188000,	397,	418,	
192000,	406,	432,	
196000,	414,	448,	
200000,	428,	458,	
204000,	435,	475,	
hetr,	hety,	
4000,	80,	80,	
208000,	447,	485,	
212000,	455,	492,	
216000,	468,	505,	
220000,	484,	519,	
224000,	490,	531,	
228000,	502,	542,	
232000,	514,	548,	
236000,	526,	560,	
240000,	541,	568,	
8000,	80,	80,	
244000,	548,	577,	
248000,	558,	581,	
252000,	566,	592,	
256000,	572,	595,	
260000,	577,	603,	
264000,	585,	613,	
268000,	593,	620,	
272000,	598,	634,	
12000,	80,	80,	
276000,	603,	641,	
280000,	612,	653,	
284000,	618,	670,	
288000,	623,	682,	
292000,	630,	687,	
296000,	633,	695,	
300000,	636,	707,	
16000,	80,	80,	
304000,	642,	714,	
308000,	646,	729,	
312000,	654,	741,	
316000,	657,	749,	
320000,	664,	761,	
324000,	673,	777,	
328000,	678,	786,	
20000,	80,	80,	
332000,	682,	794,	
336000,	686,	802,	
340000,	691,	815,	
344000,	695,	825,	
348000,	702,	834,	
352000,	706,	846,	
24000,	92,	91,	
356000,	713,	857,	
360000,	721,	871,	
364000,	731,	881,	
368000,	742,	888,	
372000,	746,	893,	
376000,	751,	905,	
28000,	104,	107,	
380000,	762,	916,	
384000,	771,	928,	
388000,	775,	937,	
392000,	783,	944,	
