Total,	aob,	nob,	
3600,	2.643407e-13,	8.068738e-14,	1.836533e-13,	
7200,	2.667734e-13,	8.283020e-14,	1.839432e-13,	
10800,	2.693040e-13,	8.502992e-14,	1.842740e-13,	
14400,	2.718132e-13,	8.728806e-14,	1.845251e-13,	
18000,	2.744214e-13,	8.960616e-14,	1.848153e-13,	
21600,	2.771755e-13,	9.198582e-14,	1.851897e-13,	
25200,	2.799502e-13,	9.442868e-14,	1.855215e-13,	
28800,	2.827992e-13,	9.693641e-14,	1.858628e-13,	
32400,	2.857618e-13,	9.951072e-14,	1.862511e-13,	
36000,	2.887757e-13,	1.021534e-13,	1.866223e-13,	
39600,	2.918479e-13,	1.048663e-13,	1.869816e-13,	
43200,	2.950367e-13,	1.076511e-13,	1.873856e-13,	
46800,	2.982917e-13,	1.105100e-13,	1.877817e-13,	
50400,	3.016662e-13,	1.134448e-13,	1.882215e-13,	
54000,	3.050694e-13,	1.164575e-13,	1.886119e-13,	
57600,	3.085295e-13,	1.195502e-13,	1.889793e-13,	
61200,	3.121434e-13,	1.227250e-13,	1.894184e-13,	
64800,	3.159178e-13,	1.259842e-13,	1.899337e-13,	
68400,	3.197448e-13,	1.293298e-13,	1.904150e-13,	
72000,	3.236790e-13,	1.327643e-13,	1.909147e-13,	
75600,	3.277149e-13,	1.362901e-13,	1.914248e-13,	
79200,	3.318804e-13,	1.399094e-13,	1.919710e-13,	
82800,	3.361367e-13,	1.436249e-13,	1.925118e-13,	
86400,	3.405516e-13,	1.474390e-13,	1.931126e-13,	
90000,	3.450080e-13,	1.513544e-13,	1.936536e-13,	
93600,	3.496013e-13,	1.553738e-13,	1.942275e-13,	
97200,	3.543787e-13,	1.594999e-13,	1.948789e-13,	
100800,	3.591975e-13,	1.637355e-13,	1.954620e-13,	
104400,	3.641818e-13,	1.680837e-13,	1.960981e-13,	
108000,	3.693590e-13,	1.725473e-13,	1.968117e-13,	
111600,	3.745719e-13,	1.771294e-13,	1.974425e-13,	
115200,	3.799556e-13,	1.818332e-13,	1.981224e-13,	
118800,	3.855385e-13,	1.866619e-13,	1.988766e-13,	
122400,	3.912147e-13,	1.916189e-13,	1.995959e-13,	
126000,	3.970663e-13,	1.967074e-13,	2.003589e-13,	
129600,	4.031006e-13,	2.019311e-13,	2.011695e-13,	
133200,	4.092902e-13,	2.072934e-13,	2.019968e-13,	
136800,	4.156679e-13,	2.127981e-13,	2.028698e-13,	
140400,	4.222196e-13,	2.184490e-13,	2.037706e-13,	
144000,	4.289531e-13,	2.242500e-13,	2.047031e-13,	
147600,	4.358764e-13,	2.302050e-13,	2.056714e-13,	
151200,	4.430048e-13,	2.363180e-13,	2.066867e-13,	
154800,	4.502987e-13,	2.425935e-13,	2.077053e-13,	
158400,	4.578116e-13,	2.490355e-13,	2.087761e-13,	
162000,	4.654988e-13,	2.556486e-13,	2.098502e-13,	
165600,	4.734051e-13,	2.624373e-13,	2.109678e-13,	
169200,	4.815387e-13,	2.694062e-13,	2.121325e-13,	
172800,	4.897847e-13,	2.765601e-13,	2.132245e-13,	
176400,	4.982606e-13,	2.839040e-13,	2.143566e-13,	
180000,	5.069082e-13,	2.914430e-13,	2.154652e-13,	
183600,	5.157677e-13,	2.991820e-13,	2.165857e-13,	
187200,	5.248054e-13,	3.071265e-13,	2.176789e-13,	
190800,	5.341567e-13,	3.152819e-13,	2.188747e-13,	
194400,	5.438037e-13,	3.236539e-13,	2.201498e-13,	
198000,	5.537313e-13,	3.322482e-13,	2.214831e-13,	
201600,	5.639794e-13,	3.410706e-13,	2.229088e-13,	
205200,	5.744964e-13,	3.501272e-13,	2.243692e-13,	
208800,	5.852841e-13,	3.594243e-13,	2.258598e-13,	
212400,	5.963115e-13,	3.689683e-13,	2.273432e-13,	
216000,	6.076305e-13,	3.787656e-13,	2.288650e-13,	
219600,	6.192454e-13,	3.888230e-13,	2.304224e-13,	
223200,	6.311968e-13,	3.991474e-13,	2.320494e-13,	
226800,	6.434340e-13,	4.097459e-13,	2.336881e-13,	
230400,	6.559706e-13,	4.206258e-13,	2.353447e-13,	
234000,	6.687992e-13,	4.317946e-13,	2.370047e-13,	
237600,	6.819220e-13,	4.432598e-13,	2.386621e-13,	
241200,	6.954426e-13,	4.550294e-13,	2.404131e-13,	
244800,	7.093380e-13,	4.671115e-13,	2.422265e-13,	
248400,	7.236481e-13,	4.795143e-13,	2.441338e-13,	
252000,	7.383751e-13,	4.922464e-13,	2.461287e-13,	
255600,	7.534932e-13,	5.053164e-13,	2.481768e-13,	
259200,	7.690280e-13,	5.187334e-13,	2.502946e-13,	
262800,	7.849870e-13,	5.325066e-13,	2.524804e-13,	
266400,	8.013496e-13,	5.466454e-13,	2.547042e-13,	
270000,	8.181149e-13,	5.611595e-13,	2.569554e-13,	
273600,	8.353354e-13,	5.760589e-13,	2.592765e-13,	
277200,	8.529076e-13,	5.913540e-13,	2.615536e-13,	
280800,	8.710460e-13,	6.070548e-13,	2.639912e-13,	
284400,	8.896992e-13,	6.231725e-13,	2.665268e-13,	
288000,	9.087899e-13,	6.397179e-13,	2.690720e-13,	
291600,	9.284096e-13,	6.567025e-13,	2.717071e-13,	
295200,	9.485059e-13,	6.741379e-13,	2.743679e-13,	
298800,	9.692151e-13,	6.920361e-13,	2.771790e-13,	
302400,	9.903785e-13,	7.104094e-13,	2.799691e-13,	
306000,	1.012145e-12,	7.292703e-13,	2.828746e-13,	
309600,	1.034397e-12,	7.486318e-13,	2.857653e-13,	
313200,	1.057167e-12,	7.685072e-13,	2.886596e-13,	
316800,	1.080451e-12,	7.889100e-13,	2.915410e-13,	
320400,	1.104555e-12,	8.098544e-13,	2.947010e-13,	
324000,	1.129272e-12,	8.313547e-13,	2.979176e-13,	
327600,	1.154425e-12,	8.534255e-13,	3.009998e-13,	
331200,	1.180433e-12,	8.760821e-13,	3.043508e-13,	
334800,	1.207117e-12,	8.993399e-13,	3.077770e-13,	
338400,	1.234533e-12,	9.232149e-13,	3.113177e-13,	
342000,	1.262755e-12,	9.477234e-13,	3.150312e-13,	
345600,	1.291625e-12,	9.728824e-13,	3.187426e-13,	
349200,	1.321073e-12,	9.987089e-13,	3.223639e-13,	
352800,	1.351241e-12,	1.025221e-12,	3.260202e-13,	
356400,	1.382458e-12,	1.052436e-12,	3.300222e-13,	
360000,	1.414566e-12,	1.080374e-12,	3.341920e-13,	
363600,	1.447578e-12,	1.109052e-12,	3.385259e-13,	
367200,	1.481400e-12,	1.138492e-12,	3.429083e-13,	
370800,	1.516152e-12,	1.168713e-12,	3.474389e-13,	
374400,	1.551869e-12,	1.199735e-12,	3.521338e-13,	
378000,	1.588515e-12,	1.231581e-12,	3.569338e-13,	
381600,	1.626131e-12,	1.264271e-12,	3.618601e-13,	
385200,	1.664785e-12,	1.297829e-12,	3.669559e-13,	
388800,	1.704469e-12,	1.332277e-12,	3.721924e-13,	
392400,	1.745266e-12,	1.367638e-12,	3.776279e-13,	
396000,	1.787181e-12,	1.403938e-12,	3.832424e-13,	
399600,	1.830169e-12,	1.441201e-12,	3.889684e-13,	
403200,	1.874279e-12,	1.479452e-12,	3.948274e-13,	
406800,	1.919557e-12,	1.518717e-12,	4.008403e-13,	
410400,	1.966103e-12,	1.559024e-12,	4.070789e-13,	
414000,	2.013854e-12,	1.600400e-12,	4.134539e-13,	
417600,	2.062928e-12,	1.642874e-12,	4.200542e-13,	
421200,	2.113379e-12,	1.686473e-12,	4.269060e-13,	
424800,	2.165138e-12,	1.731229e-12,	4.339086e-13,	
428400,	2.218269e-12,	1.777172e-12,	4.410968e-13,	
432000,	2.272866e-12,	1.824334e-12,	4.485320e-13,	
435600,	2.328833e-12,	1.872745e-12,	4.560877e-13,	
439200,	2.386280e-12,	1.922441e-12,	4.638393e-13,	
442800,	2.445224e-12,	1.973454e-12,	4.717695e-13,	
446400,	2.505715e-12,	2.025820e-12,	4.798952e-13,	
450000,	2.567793e-12,	2.079574e-12,	4.882189e-13,	
453600,	2.631467e-12,	2.134753e-12,	4.967136e-13,	
457200,	2.696868e-12,	2.191395e-12,	5.054724e-13,	
460800,	2.764053e-12,	2.249539e-12,	5.145135e-13,	
464400,	2.833004e-12,	2.309224e-12,	5.237799e-13,	
468000,	2.903735e-12,	2.370491e-12,	5.332438e-13,	
471600,	2.976330e-12,	2.433382e-12,	5.429482e-13,	
475200,	3.050616e-12,	2.497940e-12,	5.526767e-13,	
478800,	3.126987e-12,	2.564209e-12,	5.627787e-13,	
482400,	3.205455e-12,	2.632234e-12,	5.732215e-13,	
486000,	3.285998e-12,	2.702062e-12,	5.839363e-13,	
489600,	3.368689e-12,	2.773740e-12,	5.949489e-13,	
493200,	3.453381e-12,	2.847318e-12,	6.060628e-13,	
496800,	3.540334e-12,	2.922845e-12,	6.174888e-13,	
500400,	3.629600e-12,	3.000374e-12,	6.292256e-13,	
504000,	3.721188e-12,	3.079957e-12,	6.412309e-13,	
507600,	3.815205e-12,	3.161648e-12,	6.535566e-13,	
511200,	3.911689e-12,	3.245503e-12,	6.661856e-13,	
514800,	4.010701e-12,	3.331580e-12,	6.791213e-13,	
518400,	4.112262e-12,	3.419937e-12,	6.923252e-13,	
522000,	4.217130e-12,	3.510626e-12,	7.065037e-13,	
525600,	4.323927e-12,	3.603725e-12,	7.202016e-13,	
529200,	4.433790e-12,	3.699290e-12,	7.344995e-13,	
532800,	4.547067e-12,	3.797376e-12,	7.496903e-13,	
536400,	4.663107e-12,	3.898059e-12,	7.650479e-13,	
540000,	4.782351e-12,	4.001407e-12,	7.809435e-13,	
543600,	4.904623e-12,	4.107491e-12,	7.971321e-13,	
547200,	5.030340e-12,	4.216383e-12,	8.139578e-13,	
550800,	5.159075e-12,	4.328156e-12,	8.309185e-13,	
554400,	5.291291e-12,	4.442888e-12,	8.484035e-13,	
558000,	5.427248e-12,	4.560656e-12,	8.665927e-13,	
561600,	5.566734e-12,	4.681539e-12,	8.851948e-13,	
565200,	5.709739e-12,	4.805622e-12,	9.041170e-13,	
568800,	5.856734e-12,	4.932987e-12,	9.237469e-13,	
572400,	6.007363e-12,	5.063721e-12,	9.436419e-13,	
576000,	6.162058e-12,	5.197914e-12,	9.641440e-13,	
579600,	6.320829e-12,	5.335656e-12,	9.851736e-13,	
583200,	6.483688e-12,	5.477040e-12,	1.006647e-12,	
586800,	6.650605e-12,	5.622163e-12,	1.028441e-12,	
590400,	6.822545e-12,	5.771124e-12,	1.051421e-12,	
