time 	 sumRs 	 sumRo2 	 sumRno2 	 sumRno3 	 sumRnh4 
1000,	-2.066744e-20,	-1.040219e-19,	-1.618955e-20,	3.378969e-20,	-2.084319e-20
2000,	-3.965659e-20,	-1.295238e-19,	-1.993989e-20,	4.016129e-20,	-2.637799e-20
3000,	-7.574912e-20,	-1.613812e-19,	-2.555919e-20,	4.725408e-20,	-3.338252e-20
4000,	-1.443354e-19,	-2.012185e-19,	-3.461306e-20,	5.467235e-20,	-4.224703e-20
5000,	-2.746465e-19,	-2.510992e-19,	-5.010294e-20,	6.144729e-20,	-5.346541e-20
6000,	-5.221840e-19,	-3.136631e-19,	-7.777626e-20,	6.547658e-20,	-6.766269e-20
7000,	-9.922719e-19,	-3.923202e-19,	-1.286208e-19,	6.245053e-20,	-8.562977e-20
8000,	-1.884913e-18,	-4.915409e-19,	-2.236131e-19,	4.380480e-20,	-1.083677e-19
9000,	-3.579452e-18,	-6.172910e-19,	-4.027247e-19,	-7.180052e-21,	-1.371427e-19
10000,	-6.795323e-18,	-7.777415e-19,	-7.419866e-19,	-1.227746e-19,	-1.735578e-19
