aob	eps	comm	
1.370105e-16	1.368625e-16	1.369942e-16	
aob	eps	comm	
1.370105e-16	1.368625e-16	1.369942e-16	
1.371244e-16	1.369109e-16	1.370973e-16	
1.372589e-16	1.368972e-16	1.371997e-16	
1.373731e-16	1.369456e-16	1.373029e-16	
1.375078e-16	1.369319e-16	1.374055e-16	
1.376222e-16	1.369803e-16	1.375088e-16	
1.377572e-16	1.369666e-16	1.376116e-16	
1.378717e-16	1.370151e-16	1.377151e-16	
1.380070e-16	1.370014e-16	1.378179e-16	
1.381217e-16	1.370499e-16	1.379216e-16	
1.382572e-16	1.370362e-16	1.380246e-16	
1.383722e-16	1.370848e-16	1.381285e-16	
1.385079e-16	1.370711e-16	1.382316e-16	
1.386231e-16	1.371197e-16	1.383356e-16	
1.387591e-16	1.371059e-16	1.384389e-16	
1.388744e-16	1.371546e-16	1.385431e-16	
1.390107e-16	1.371409e-16	1.386466e-16	
1.391263e-16	1.371896e-16	1.387509e-16	
1.392627e-16	1.371759e-16	1.388545e-16	
1.393785e-16	1.372246e-16	1.389589e-16	
1.395152e-16	1.372109e-16	1.390627e-16	
1.396313e-16	1.372597e-16	1.391673e-16	
1.397682e-16	1.372459e-16	1.392713e-16	
1.398844e-16	1.372948e-16	1.393760e-16	
1.400217e-16	1.372810e-16	1.394801e-16	
1.401381e-16	1.373299e-16	1.395851e-16	
1.402755e-16	1.373161e-16	1.396893e-16	
1.403922e-16	1.373651e-16	1.397944e-16	
1.405299e-16	1.373513e-16	1.398988e-16	
1.406467e-16	1.374003e-16	1.400040e-16	
1.407847e-16	1.373865e-16	1.401086e-16	
1.409017e-16	1.374355e-16	1.402140e-16	
1.410400e-16	1.374218e-16	1.403187e-16	
1.411572e-16	1.374708e-16	1.404242e-16	
1.412957e-16	1.374571e-16	1.405291e-16	
1.414132e-16	1.375062e-16	1.406348e-16	
1.415519e-16	1.374924e-16	1.407399e-16	
1.416696e-16	1.375415e-16	1.408457e-16	
1.418085e-16	1.375278e-16	1.409509e-16	
1.419264e-16	1.375769e-16	1.410569e-16	
1.420657e-16	1.375632e-16	1.411623e-16	
1.421838e-16	1.376124e-16	1.412685e-16	
1.423232e-16	1.375986e-16	1.413740e-16	
1.424416e-16	1.376479e-16	1.414803e-16	
1.425813e-16	1.376341e-16	1.415860e-16	
1.426998e-16	1.376834e-16	1.416925e-16	
1.428398e-16	1.376696e-16	1.417983e-16	
1.429586e-16	1.377190e-16	1.419049e-16	
1.430988e-16	1.377052e-16	1.420109e-16	
1.432178e-16	1.377546e-16	1.421177e-16	
1.433582e-16	1.377408e-16	1.422239e-16	
1.434774e-16	1.377902e-16	1.423308e-16	
1.436182e-16	1.377765e-16	1.424371e-16	
1.437375e-16	1.378259e-16	1.425443e-16	
1.438785e-16	1.378121e-16	1.426507e-16	
1.439982e-16	1.378617e-16	1.427580e-16	
1.441394e-16	1.378479e-16	1.428646e-16	
1.442592e-16	1.378974e-16	1.429721e-16	
1.444007e-16	1.378836e-16	1.430788e-16	
1.445208e-16	1.379332e-16	1.431865e-16	
1.446625e-16	1.379194e-16	1.432934e-16	
1.447828e-16	1.379691e-16	1.434012e-16	
1.449248e-16	1.379553e-16	1.435082e-16	
1.450453e-16	1.380050e-16	1.436162e-16	
1.451876e-16	1.379912e-16	1.437234e-16	
1.453083e-16	1.380409e-16	1.438315e-16	
1.454508e-16	1.380271e-16	1.439389e-16	
1.455717e-16	1.380769e-16	1.440472e-16	
1.457145e-16	1.380631e-16	1.441548e-16	
1.458356e-16	1.381129e-16	1.442632e-16	
1.459787e-16	1.380991e-16	1.443709e-16	
1.461000e-16	1.381489e-16	1.444795e-16	
1.462433e-16	1.381351e-16	1.445874e-16	
1.463649e-16	1.381850e-16	1.446961e-16	
1.465085e-16	1.381712e-16	1.448042e-16	
1.466302e-16	1.382211e-16	1.449131e-16	
1.467741e-16	1.382073e-16	1.450213e-16	
1.468961e-16	1.382573e-16	1.451304e-16	
1.470402e-16	1.382435e-16	1.452387e-16	
1.471624e-16	1.382935e-16	1.453480e-16	
1.473068e-16	1.382797e-16	1.454565e-16	
1.474292e-16	1.383298e-16	1.455659e-16	
1.475738e-16	1.383159e-16	1.456746e-16	
1.476965e-16	1.383660e-16	1.457842e-16	
1.478413e-16	1.383522e-16	1.458930e-16	
1.479642e-16	1.384024e-16	1.460027e-16	
1.481094e-16	1.383885e-16	1.461118e-16	
1.482325e-16	1.384387e-16	1.462216e-16	
1.483779e-16	1.384249e-16	1.463308e-16	
1.485012e-16	1.384751e-16	1.464409e-16	
1.486469e-16	1.384613e-16	1.465502e-16	
1.487704e-16	1.385116e-16	1.466604e-16	
1.489163e-16	1.384977e-16	1.467700e-16	
1.490401e-16	1.385481e-16	1.468803e-16	
1.491863e-16	1.385342e-16	1.469900e-16	
1.493103e-16	1.385846e-16	1.471005e-16	
1.494568e-16	1.385707e-16	1.472104e-16	
1.495810e-16	1.386211e-16	1.473211e-16	
1.497277e-16	1.386073e-16	1.474311e-16	
1.498521e-16	1.386578e-16	1.475420e-16	
1.499991e-16	1.386439e-16	1.476521e-16	
1.501238e-16	1.386944e-16	1.477632e-16	
1.502711e-16	1.386805e-16	1.478735e-16	
1.503959e-16	1.387311e-16	1.479847e-16	
1.505435e-16	1.387172e-16	1.480952e-16	
1.506686e-16	1.387678e-16	1.482066e-16	
1.508164e-16	1.387539e-16	1.483172e-16	
1.509417e-16	1.388046e-16	1.484288e-16	
1.510898e-16	1.387907e-16	1.485396e-16	
1.512153e-16	1.388414e-16	1.486513e-16	
1.513637e-16	1.388275e-16	1.487623e-16	
1.514895e-16	1.388782e-16	1.488741e-16	
1.516381e-16	1.388643e-16	1.489853e-16	
1.517641e-16	1.389151e-16	1.490973e-16	
1.519129e-16	1.389012e-16	1.492087e-16	
1.520392e-16	1.389520e-16	1.493209e-16	
1.521883e-16	1.389381e-16	1.494324e-16	
1.523148e-16	1.389890e-16	1.495447e-16	
1.524642e-16	1.389751e-16	1.496564e-16	
1.525909e-16	1.390260e-16	1.497689e-16	
1.527406e-16	1.390121e-16	1.498807e-16	
1.528675e-16	1.390630e-16	1.499934e-16	
1.530175e-16	1.390491e-16	1.501054e-16	
